Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;239.913;272.603;274.184;233.375;27.38M;-11.99%
03-Apr-22;272.607;312.863;332.553;263.123;53.13M;-12.87%
27-Mar-22;312.863;288.025;325.494;277.262;49.62M;8.60%
20-Mar-22;288.087;286.499;299.735;272.467;35.43M;0.55%
13-Mar-22;286.500;272.100;294.101;257.895;551.38M;5.29%
06-Mar-22;272.100;309.091;312.901;269.899;752.69M;-11.97%
27-Feb-22;309.089;298.062;346.366;263.302;470.75M;3.72%
20-Feb-22;298.003;266.687;303.085;215.770;50.89M;11.74%
13-Feb-22;266.699;270.382;308.252;254.100;41.35M;-1.36%
06-Feb-22;270.367;307.198;331.626;260.274;46.28M;-11.99%
30-Jan-22;307.198;290.652;322.506;255.389;60.98M;5.72%
23-Jan-22;290.575;292.840;371.349;277.270;122.35M;-0.84%
16-Jan-22;293.029;391.319;444.923;273.679;101.66M;-25.13%
09-Jan-22;391.362;358.595;423.093;329.540;88.21M;9.16%
02-Jan-22;358.526;362.823;446.500;340.965;132.37M;-1.11%
26-Dec-21;362.565;296.794;369.798;252.045;65.49M;22.22%
19-Dec-21;296.652;231.449;297.057;207.330;43.60M;27.97%
