Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;77.11;84.55;85.65;72.74;13.03M;-8.80%
03-Apr-22;84.55;96.18;100.06;81.47;22.38M;-12.09%
27-Mar-22;96.18;85.95;103.58;84.42;24.66M;11.88%
20-Mar-22;85.96;89.56;92.38;82.28;22.12M;-4.02%
13-Mar-22;89.56;70.92;92.27;65.57;1.49B;26.21%
06-Mar-22;70.96;76.65;80.39;70.45;1.45B;-7.42%
27-Feb-22;76.65;81.71;90.75;71.86;605.76M;-6.18%
20-Feb-22;81.70;85.05;85.68;64.51;29.33M;-3.94%
13-Feb-22;85.05;81.29;98.59;76.22;16.94M;4.84%
06-Feb-22;81.12;77.01;95.00;74.26;19.60M;5.16%
30-Jan-22;77.14;71.80;80.84;64.29;15.49M;7.44%
23-Jan-22;71.80;59.85;73.47;55.20;20.65M;19.97%
16-Jan-22;59.85;93.07;94.87;53.19;13.83M;-35.69%
09-Jan-22;93.07;83.90;97.20;80.47;13.16M;10.93%
02-Jan-22;83.90;114.22;117.41;79.42;14.83M;-26.55%
26-Dec-21;114.23;114.99;120.83;98.43;16.86M;-0.66%
19-Dec-21;114.99;115.84;127.19;101.03;21.94M;-0.74%
12-Dec-21;115.84;86.48;117.25;75.69;34.81M;34.34%
05-Dec-21;86.23;93.17;96.55;77.07;25.45M;-7.45%
28-Nov-21;93.17;113.35;127.24;76.66;24.54M;-17.81%
21-Nov-21;113.36;125.75;146.29;101.60;41.16M;-9.85%
14-Nov-21;125.75;97.42;129.86;83.51;37.83M;29.08%
07-Nov-21;97.41;78.70;98.45;78.07;28.72M;23.90%
31-Oct-21;78.63;62.24;81.01;60.15;21.74M;26.33%
24-Oct-21;62.24;65.35;72.93;57.15;20.36M;-4.75%
17-Oct-21;65.35;57.54;69.10;53.42;25.70M;13.57%
10-Oct-21;57.54;60.65;62.04;51.17;24.76M;-5.13%
03-Oct-21;60.65;69.08;71.58;57.39;34.68M;-12.42%
26-Sep-21;69.25;68.28;73.41;61.21;47.30M;1.42%
19-Sep-21;68.28;68.90;79.55;52.76;98.84M;-0.90%
12-Sep-21;68.90;57.00;75.36;48.28;79.04M;20.52%
05-Sep-21;57.17;47.20;58.97;32.33;-;21.25%
29-Aug-21;47.15;50.24;52.38;38.32;-;-5.93%
22-Aug-21;50.12;43.70;58.84;40.31;-;14.42%
15-Aug-21;43.80;18.09;50.17;17.13;-;142.27%
08-Aug-21;18.08;15.85;18.41;14.45;-;14.24%
01-Aug-21;15.83;13.54;15.93;12.34;-;17.18%
25-Jul-21;13.51;11.01;13.61;10.77;-;20.91%
18-Jul-21;11.17;10.94;11.36;9.33;-;1.94%
11-Jul-21;10.96;12.02;12.84;10.72;-;-8.87%
04-Jul-21;12.02;11.90;14.19;11.66;-;3.80%
27-Jun-21;11.58;10.33;12.21;10.18;-;12.47%
20-Jun-21;10.30;13.40;13.87;9.94;-;-23.00%
13-Jun-21;13.38;13.55;15.27;13.26;-;-0.84%
06-Jun-21;13.49;17.19;17.89;12.77;-;-21.75%
30-May-21;17.24;16.19;20.35;15.33;-;6.69%
23-May-21;16.16;18.80;21.16;13.06;-;-14.06%
16-May-21;18.80;34.54;38.33;18.78;-;-45.46%
09-May-21;34.47;38.40;41.29;32.21;-;-9.99%
02-May-21;38.30;31.92;42.01;30.95;-;20.39%
25-Apr-21;31.81;21.89;35.19;20.94;-;45.74%
18-Apr-21;21.83;33.96;33.96;20.84;-;-35.78%
11-Apr-21;33.99;31.93;39.67;31.14;-;6.95%
04-Apr-21;31.78;27.97;33.92;27.97;-;12.75%
28-Mar-21;28.18;27.80;32.34;27.31;-;2.01%
21-Mar-21;27.63;34.10;35.43;25.25;-;-19.22%
14-Mar-21;34.20;30.97;38.39;28.01;-;10.83%
07-Mar-21;30.86;24.98;35.00;23.88;-;23.92%
28-Feb-21;24.90;25.63;29.67;22.78;-;-3.33%
21-Feb-21;25.76;35.91;37.54;25.12;-;-28.08%
14-Feb-21;35.82;44.24;44.24;34.57;-;-18.87%
07-Feb-21;44.15;18.08;56.92;18.08;-;143.92%
31-Jan-21;18.10;12.03;18.10;12.03;-;50.72%
24-Jan-21;12.01;12.87;13.15;11.21;-;-6.73%
17-Jan-21;12.88;12.77;13.97;11.25;-;0.48%
10-Jan-21;12.82;7.30;12.91;5.88;-;78.29%
