Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;40,195.0;42,760.0;43,421.0;39,202.0;2.49B;-6.01%
03-Apr-22;42,767.0;45,813.0;47,435.0;42,113.0;3.23B;-6.64%
27-Mar-22;45,811.0;44,542.0;48,199.0;44,261.0;3.66B;2.84%
20-Mar-22;44,548.0;42,241.0;45,112.0;40,530.0;3.16B;5.48%
13-Mar-22;42,233.0;38,813.2;42,386.0;37,603.4;17.07B;8.81%
06-Mar-22;38,814.3;39,396.3;42,538.5;37,182.1;20.31B;-1.48%
27-Feb-22;39,395.8;39,116.6;45,294.2;37,062.3;6.23B;0.72%
20-Feb-22;39,115.5;40,089.6;40,120.3;34,357.4;635.91K;-2.43%
13-Feb-22;40,090.3;42,205.5;44,722.6;39,505.0;376.77K;-5.01%
06-Feb-22;42,205.2;41,411.9;45,755.2;41,176.3;473.29K;1.92%
30-Jan-22;41,412.1;38,167.5;41,899.8;36,297.3;451.36K;8.49%
23-Jan-22;38,170.8;35,072.9;38,862.6;32,985.6;630.11K;8.83%
16-Jan-22;35,075.2;43,079.2;43,487.1;34,116.0;541.76K;-18.61%
09-Jan-22;43,097.0;41,681.2;44,404.7;39,697.0;391.26K;3.42%
02-Jan-22;41,672.0;47,738.7;47,944.9;40,574.3;446.80K;-12.71%
26-Dec-21;47,738.0;50,404.0;52,016.3;45,693.6;391.96K;-5.29%
19-Dec-21;50,406.4;46,855.7;51,795.3;45,577.3;343.62K;7.58%
12-Dec-21;46,856.2;49,332.5;50,779.2;45,513.4;446.80K;-4.98%
05-Dec-21;49,314.5;49,196.4;51,918.6;46,834.0;470.49K;0.24%
28-Nov-21;49,195.2;54,758.0;59,174.4;42,587.8;485.37K;-10.17%
21-Nov-21;54,765.9;59,724.0;60,002.6;53,533.5;512.69K;-8.29%
14-Nov-21;59,717.6;64,397.2;66,311.2;55,626.3;521.73K;-7.27%
07-Nov-21;64,398.6;61,483.8;68,990.6;61,347.2;451.59K;4.74%
31-Oct-21;61,483.9;61,842.2;64,256.4;59,612.7;375.25K;-0.58%
24-Oct-21;61,840.1;61,308.2;63,694.8;58,112.6;449.83K;0.86%
17-Oct-21;61,312.5;60,865.5;66,967.1;59,143.4;545.11K;0.74%
10-Oct-21;60,861.1;54,942.5;62,892.8;54,100.8;628.28K;10.77%
03-Oct-21;54,942.5;47,665.4;55,977.9;46,958.6;506.29K;15.26%
26-Sep-21;47,666.9;42,685.8;48,435.2;40,786.6;486.08K;11.67%
19-Sep-21;42,686.8;48,299.9;48,341.9;39,646.8;682.37K;-11.63%
12-Sep-21;48,306.7;45,162.6;48,761.0;43,463.2;428.09K;6.96%
05-Sep-21;45,161.9;49,918.7;52,885.3;43,072.4;635.39K;-9.53%
29-Aug-21;49,918.4;48,899.7;51,008.8;46,533.1;503.54K;2.09%
22-Aug-21;48,897.1;48,870.4;50,498.8;46,360.4;455.60K;0.04%
15-Aug-21;48,875.8;47,082.6;49,719.1;43,986.7;404.44K;3.81%
08-Aug-21;47,081.5;44,584.9;48,090.9;42,824.1;603.00K;5.53%
01-Aug-21;44,614.2;41,510.0;44,697.3;37,365.4;480.25K;7.37%
25-Jul-21;41,553.7;34,392.5;42,285.3;33,881.3;772.12K;22.85%
18-Jul-21;33,824.8;31,517.9;33,955.0;29,310.2;547.54K;7.32%
11-Jul-21;31,518.6;33,510.8;34,598.0;31,062.2;444.39K;-5.94%
04-Jul-21;33,510.6;34,742.8;35,957.6;32,146.9;538.72K;-3.55%
27-Jun-21;34,742.8;32,247.1;36,590.3;32,041.7;644.50K;7.75%
20-Jun-21;32,243.4;35,510.9;36,097.9;28,901.8;1.38M;-9.21%
13-Jun-21;35,513.4;35,467.5;41,318.0;34,827.0;869.90K;0.13%
06-Jun-21;35,467.5;35,518.7;38,340.8;31,158.1;955.16K;-0.15%
30-May-21;35,520.0;34,589.3;39,462.3;33,441.0;795.23K;2.70%
23-May-21;34,584.6;37,446.8;40,750.0;31,192.4;1.36M;-7.65%
16-May-21;37,448.3;46,729.3;49,764.3;30,261.7;2.10M;-19.83%
09-May-21;46,708.8;58,840.6;59,523.9;46,331.1;971.69K;-20.62%
02-May-21;58,840.1;57,807.2;59,471.1;53,741.5;714.62K;1.79%
25-Apr-21;57,807.1;50,088.2;58,449.4;47,098.5;650.34K;15.41%
18-Apr-21;50,088.9;60,043.2;60,362.1;47,659.4;1.12M;-16.58%
11-Apr-21;60,041.9;59,772.4;64,778.0;59,250.3;738.10K;0.49%
04-Apr-21;59,748.4;57,059.7;61,229.0;55,489.3;478.37K;4.71%
28-Mar-21;57,059.9;55,856.9;60,134.9;54,711.3;551.09K;2.14%
21-Mar-21;55,862.9;58,097.4;58,583.8;50,441.3;736.81K;-3.84%
14-Mar-21;58,093.4;61,192.7;61,673.7;53,342.6;705.78K;-5.07%
07-Mar-21;61,195.3;48,899.0;61,795.8;48,890.6;726.92K;25.26%
28-Feb-21;48,855.6;46,136.0;52,567.9;43,100.6;647.90K;5.89%
21-Feb-21;46,136.7;55,907.6;58,335.1;44,248.2;1.08M;-17.50%
14-Feb-21;55,923.7;47,172.1;57,523.8;45,786.1;880.27K;18.56%
07-Feb-21;47,168.7;39,228.9;48,927.4;37,381.6;1.12M;20.16%
31-Jan-21;39,256.6;34,281.6;40,939.7;32,189.9;844.34K;14.51%
24-Jan-21;34,283.1;32,088.5;38,546.0;29,290.4;1.38M;6.84%
17-Jan-21;32,088.9;36,020.1;37,821.0;28,871.2;1.14M;-10.91%
10-Jan-21;36,019.5;40,149.7;41,362.4;30,411.6;1.40M;-10.29%
03-Jan-21;40,151.9;32,192.9;41,921.7;28,204.5;1.57M;24.72%
27-Dec-20;32,193.3;26,460.3;33,233.5;25,858.2;962.22K;21.69%
20-Dec-20;26,454.4;23,843.6;26,826.0;22,015.5;805.84K;10.95%
13-Dec-20;23,844.0;18,808.1;24,107.1;18,716.8;1.01M;26.77%
06-Dec-20;18,808.9;19,146.0;19,424.6;17,600.1;642.93K;-1.76%
29-Nov-20;19,146.5;17,729.7;19,897.4;17,530.4;883.70K;7.99%
22-Nov-20;17,730.7;18,394.6;19,486.7;16,235.2;1.15M;-5.12%
15-Nov-20;18,687.2;16,074.7;18,966.0;15,782.3;985.86K;16.28%
08-Nov-20;16,071.0;14,826.6;16,474.1;14,720.7;849.61K;8.38%
01-Nov-20;14,828.4;13,795.5;15,955.2;13,214.2;969.23K;7.47%
25-Oct-20;13,797.3;13,117.0;14,065.4;12,792.4;737.16K;5.18%
18-Oct-20;13,117.2;11,362.1;13,213.5;11,349.8;649.57K;15.45%
11-Oct-20;11,362.1;11,295.6;11,715.9;11,224.6;458.66K;0.56%
04-Oct-20;11,298.4;10,544.4;11,475.0;10,520.8;415.50K;7.15%
27-Sep-20;10,544.2;10,727.9;10,946.6;10,387.6;473.68K;-1.71%
20-Sep-20;10,727.9;11,081.6;11,081.6;10,146.6;521.93K;-3.19%
13-Sep-20;11,081.8;10,441.7;11,177.1;10,219.4;552.84K;6.13%
06-Sep-20;10,441.9;10,092.2;10,480.3;9,877.1;24.92M;3.47%
30-Aug-20;10,092.2;11,468.1;12,045.9;9,897.8;56.56M;-12.00%
23-Aug-20;11,468.1;11,661.1;11,824.6;11,131.0;3.40M;-1.66%
16-Aug-20;11,661.3;11,845.5;12,444.1;11,382.1;3.65M;-1.55%
09-Aug-20;11,845.3;11,764.4;12,041.1;11,146.7;3.46M;0.69%
02-Aug-20;11,764.3;11,802.6;12,061.1;10,730.7;3.74M;-0.33%
26-Jul-20;11,803.1;10,961.1;11,847.7;10,771.8;4.12M;21.63%
19-Jul-20;9,704.1;9,170.1;9,729.3;9,106.4;2.56M;5.82%
12-Jul-20;9,170.2;9,234.2;9,337.8;9,052.0;2.76M;-0.68%
05-Jul-20;9,233.3;9,134.3;9,458.3;8,932.1;3.03M;1.08%
28-Jun-20;9,134.4;9,008.4;9,289.0;8,950.2;2.61M;1.40%
21-Jun-20;9,008.3;9,358.8;9,751.9;8,865.3;3.24M;-3.74%
14-Jun-20;9,358.8;9,470.7;9,577.1;8,925.6;3.38M;-1.19%
07-Jun-20;9,471.3;9,669.6;9,970.9;9,139.1;3.94M;-2.05%
31-May-20;9,669.6;9,692.9;10,301.8;9,347.3;4.72M;-0.24%
24-May-20;9,692.5;9,177.9;9,729.9;8,666.1;6.17M;5.62%
17-May-20;9,177.0;9,376.6;9,930.2;8,833.6;7.89M;-2.16%
10-May-20;9,379.5;9,553.9;9,887.5;8,235.6;12.52M;-1.83%
03-May-20;9,554.6;8,966.2;10,033.0;8,553.2;9.63M;6.56%
26-Apr-20;8,966.3;7,540.4;9,437.5;7,520.5;8.77M;18.91%
19-Apr-20;7,540.4;7,230.9;7,684.6;6,771.2;12.22M;4.28%
12-Apr-20;7,230.8;6,867.9;7,259.4;6,520.5;7.48M;5.29%
05-Apr-20;6,867.8;6,857.5;7,440.3;6,686.0;8.36M;0.15%
29-Mar-20;6,857.4;6,233.2;7,182.7;5,872.5;9.18M;10.01%
22-Mar-20;6,233.7;6,186.9;6,930.2;5,710.8;10.15M;0.77%
15-Mar-20;6,186.2;5,182.9;6,858.1;4,477.7;14.45M;19.36%
08-Mar-20;5,182.7;8,887.8;8,888.0;3,869.5;16.09M;-41.69%
01-Mar-20;8,887.8;8,543.8;9,180.8;8,437.2;6.44M;4.03%
23-Feb-20;8,543.7;9,655.6;9,981.0;8,451.9;7.28M;-11.52%
16-Feb-20;9,655.7;9,907.4;10,230.9;9,424.3;5.93M;-2.54%
09-Feb-20;9,907.7;9,895.4;10,482.6;9,725.1;5.39M;0.12%
02-Feb-20;9,895.5;9,381.5;9,931.2;9,381.5;4.78M;5.48%
26-Jan-20;9,381.6;8,341.6;9,569.0;8,304.9;4.89M;12.47%
19-Jan-20;8,341.6;8,916.3;9,183.7;8,242.6;4.60M;-6.45%
12-Jan-20;8,916.3;8,023.3;9,005.1;7,973.1;6.33M;11.12%
05-Jan-20;8,024.1;7,376.8;8,436.4;7,345.6;6.53M;8.78%
29-Dec-19;7,376.8;7,321.6;7,518.9;6,884.1;4.70M;0.75%
22-Dec-19;7,321.5;7,156.3;7,684.0;7,128.5;5.29M;2.31%
15-Dec-19;7,156.2;7,080.8;7,387.7;6,462.2;5.22M;1.07%
08-Dec-19;7,080.8;7,510.8;7,626.0;7,043.3;3.88M;-5.73%
01-Dec-19;7,510.9;7,546.5;7,702.2;7,113.6;5.17M;-0.47%
24-Nov-19;7,546.6;7,325.0;7,825.3;6,534.8;6.29M;3.04%
17-Nov-19;7,324.1;8,497.4;8,631.7;6,818.5;6.19M;-13.81%
10-Nov-19;8,497.3;8,804.7;9,092.9;8,437.1;4.02M;-3.49%
03-Nov-19;8,804.5;9,300.5;9,500.4;8,722.4;4.63M;-5.33%
27-Oct-19;9,300.6;9,230.6;9,866.9;8,959.6;6.08M;0.76%
20-Oct-19;9,230.6;7,957.4;10,540.0;7,329.2;4.23M;16.00%
13-Oct-19;7,957.3;8,304.3;8,450.2;7,842.0;3.38M;-4.18%
06-Oct-19;8,304.4;8,127.3;8,751.1;7,797.0;4.00M;2.18%
29-Sep-19;8,127.3;8,208.0;8,486.2;7,749.0;3.23M;-0.99%
22-Sep-19;8,208.5;9,993.0;10,075.0;7,773.6;4.23M;-17.86%
15-Sep-19;9,993.0;10,337.3;10,360.5;9,707.6;2.51M;-3.33%
08-Sep-19;10,337.3;10,461.6;10,578.0;9,908.9;2.74M;-1.18%
01-Sep-19;10,461.1;9,594.7;10,896.2;9,533.6;3.62M;9.03%
25-Aug-19;9,594.4;10,132.1;10,568.2;9,343.0;3.29M;-5.30%
18-Aug-19;10,131.0;10,219.3;10,941.6;9,777.0;3.57M;-0.85%
11-Aug-19;10,218.1;11,314.6;11,728.4;9,580.1;4.62M;-9.69%
