Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;0.4062;0.4449;0.4525;0.3989;71.53M;-8.70%
03-Apr-22;0.4449;0.4787;0.4874;0.4337;110.83M;-7.04%
27-Mar-22;0.4787;0.4575;0.5011;0.4470;109.61M;4.59%
20-Mar-22;0.4577;0.4180;0.4685;0.3993;81.70M;9.48%
13-Mar-22;0.4180;0.3880;0.4191;0.3725;91.41M;7.75%
06-Mar-22;0.3880;0.4095;0.4173;0.3718;110.45M;-5.29%
27-Feb-22;0.4096;0.4140;0.4531;0.3897;129.17M;-0.97%
20-Feb-22;0.4136;0.4364;0.4394;0.3472;145.26M;-5.24%
13-Feb-22;0.4365;0.4867;0.5190;0.4266;211.67M;-10.26%
06-Feb-22;0.4864;0.4477;0.5416;0.4438;214.12M;8.57%
30-Jan-22;0.4480;0.4324;0.4603;0.3916;140.84M;3.61%
23-Jan-22;0.4324;0.3375;0.4412;0.3295;243.86M;28.12%
16-Jan-22;0.3375;0.4671;0.4742;0.3264;228.98M;-27.76%
09-Jan-22;0.4672;0.4535;0.4943;0.4293;157.99M;3.03%
02-Jan-22;0.4535;0.5851;0.5891;0.4417;232.95M;-22.48%
26-Dec-21;0.5850;0.6443;0.6503;0.5395;213.01M;-9.21%
19-Dec-21;0.6443;0.5261;0.6845;0.4799;317.31M;22.48%
12-Dec-21;0.5260;0.5768;0.6193;0.5103;244.68M;-8.80%
05-Dec-21;0.5768;0.6053;0.6548;0.5110;443.35M;-4.93%
28-Nov-21;0.6067;0.7754;0.7755;0.4767;843.77M;-21.81%
21-Nov-21;0.7760;0.5757;0.9644;0.5630;2.22B;34.81%
14-Nov-21;0.5756;0.3857;0.5918;0.3755;2.01B;49.33%
07-Nov-21;0.3855;0.3363;0.4222;0.3167;883.05M;14.63%
31-Oct-21;0.3363;0.2140;0.3957;0.2021;1.91B;57.10%
24-Oct-21;0.2140;0.1923;0.2285;0.1843;425.93M;11.29%
17-Oct-21;0.1923;0.1893;0.1975;0.1787;182.20M;1.61%
10-Oct-21;0.1893;0.1925;0.1937;0.1750;213.76M;-1.66%
03-Oct-21;0.1925;0.1740;0.1972;0.1714;338.31M;10.63%
26-Sep-21;0.1740;0.1575;0.1779;0.1446;237.42M;10.46%
19-Sep-21;0.1575;0.1902;0.1902;0.1492;287.60M;-17.21%
12-Sep-21;0.1902;0.1779;0.2002;0.1654;309.15M;6.93%
05-Sep-21;0.1779;0.1714;0.2047;0.1564;449.31M;3.80%
29-Aug-21;0.1714;0.1558;0.1739;0.1505;218.47M;9.97%
22-Aug-21;0.1558;0.1548;0.1644;0.1461;228.88M;0.65%
15-Aug-21;0.1548;0.1499;0.1559;0.1389;299.68M;3.33%
08-Aug-21;0.1498;0.1421;0.1536;0.1326;310.47M;5.46%
