Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;19.80;21.71;21.84;18.00;20.32M;-8.83%
03-Apr-22;21.72;23.91;26.53;21.00;42.17M;-9.15%
27-Mar-22;23.91;19.43;27.99;18.99;83.28M;23.05%
20-Mar-22;19.43;18.21;19.78;17.26;22.00M;6.70%
13-Mar-22;18.21;17.71;18.38;16.50;166.77M;2.81%
06-Mar-22;17.71;19.10;19.26;17.12;216.52M;-7.28%
27-Feb-22;19.10;19.05;22.22;18.31;115.25M;0.26%
20-Feb-22;19.05;20.84;20.86;16.75;25.37M;-8.60%
13-Feb-22;20.84;20.85;23.55;19.93;25.70M;-0.05%
06-Feb-22;20.85;22.01;26.21;20.41;33.48M;-5.26%
30-Jan-22;22.01;20.24;22.80;19.01;22.76M;8.75%
23-Jan-22;20.24;19.01;20.75;16.84;39.25M;6.47%
16-Jan-22;19.01;29.71;31.44;17.16;25.48M;-36.02%
09-Jan-22;29.71;29.45;31.07;26.68;23.97M;0.90%
02-Jan-22;29.45;35.87;38.49;28.44;33.16M;-17.90%
26-Dec-21;35.87;37.02;41.14;33.46;31.05M;-3.15%
19-Dec-21;37.04;36.36;38.00;33.86;20.56M;2.03%
12-Dec-21;36.30;40.41;40.52;35.27;25.60M;-10.00%
05-Dec-21;40.33;41.07;43.43;35.53;45.65M;-1.81%
28-Nov-21;41.07;57.89;57.89;33.07;32.13M;-29.06%
21-Nov-21;57.90;54.38;59.35;48.70;42.57M;6.47%
14-Nov-21;54.38;62.92;63.46;48.90;42.30M;-13.56%
07-Nov-21;62.91;61.80;69.58;58.82;34.05M;1.80%
31-Oct-21;61.80;61.23;66.68;58.48;25.61M;0.93%
24-Oct-21;61.23;64.80;65.28;52.12;28.46M;-5.50%
17-Oct-21;64.80;66.47;68.14;61.30;23.36M;-2.50%
10-Oct-21;66.46;76.89;77.01;61.30;36.35M;-13.55%
03-Oct-21;76.88;69.66;80.99;65.71;41.63M;10.29%
26-Sep-21;69.71;60.39;73.89;50.19;53.23M;15.31%
19-Sep-21;60.45;84.30;85.10;59.04;43.04M;-28.33%
12-Sep-21;84.34;81.67;90.54;73.14;26.86M;3.27%
05-Sep-21;81.67;94.91;119.95;72.21;58.35M;-13.95%
29-Aug-21;94.91;73.97;96.37;70.45;15.70M;28.31%
22-Aug-21;73.97;78.45;82.10;70.48;19.35M;-5.70%
15-Aug-21;78.44;72.39;79.24;66.12;17.30M;8.36%
08-Aug-21;72.39;69.27;75.06;61.55;21.43M;4.51%
01-Aug-21;69.27;52.00;70.73;51.60;20.47M;32.92%
25-Jul-21;52.11;49.16;52.89;47.18;15.02M;10.34%
18-Jul-21;47.23;45.60;47.70;40.10;10.38M;3.58%
11-Jul-21;45.60;54.24;55.76;45.15;7.34M;-15.93%
04-Jul-21;54.24;58.86;60.07;52.88;8.07M;-7.85%
27-Jun-21;58.86;52.98;66.10;52.74;17.08M;11.10%
20-Jun-21;52.98;64.73;64.94;42.88;27.58M;-18.15%
13-Jun-21;64.73;69.59;77.24;63.63;10.73M;-6.98%
06-Jun-21;69.59;88.13;92.01;66.25;19.84M;-21.05%
30-May-21;88.13;68.19;97.61;65.31;28.04M;29.25%
23-May-21;68.19;72.07;79.65;55.44;24.62M;-5.38%
16-May-21;72.07;110.28;116.03;55.17;31.43M;-34.65%
09-May-21;110.28;148.01;149.58;91.65;15.29M;-25.48%
02-May-21;147.99;164.27;166.59;143.03;9.14M;-9.92%
25-Apr-21;164.28;133.71;167.29;131.69;9.02M;22.86%
18-Apr-21;133.71;180.90;182.99;122.48;7.48M;-26.08%
11-Apr-21;180.90;174.74;195.23;159.90;2.46M;3.53%
04-Apr-21;174.74;178.27;193.38;135.77;2.48M;-1.90%
28-Mar-21;178.13;132.51;237.17;120.95;4.41M;34.49%
21-Mar-21;132.45;82.12;139.36;73.68;2.58M;61.29%
14-Mar-21;82.12;49.43;96.61;49.40;3.27M;66.13%
07-Mar-21;49.43;40.39;51.99;40.31;1.06M;22.38%
28-Feb-21;40.39;37.91;44.74;34.86;1.53M;6.54%
21-Feb-21;37.91;43.03;45.83;31.72;2.12M;-12.02%
14-Feb-21;43.09;41.51;52.09;39.42;2.93M;3.82%
07-Feb-21;41.51;24.25;51.23;23.72;4.31M;71.12%
31-Jan-21;24.25;22.03;25.57;22.03;1.52M;10.08%
24-Jan-21;22.03;22.72;23.15;21.23;760.95K;-3.02%
17-Jan-21;22.72;22.84;26.09;20.91;995.78K;-0.54%
10-Jan-21;22.84;22.01;24.95;21.00;768.90K;3.79%
03-Jan-21;22.01;21.76;22.97;20.96;652.13K;1.12%
27-Dec-20;21.76;23.58;26.23;20.00;746.04K;-7.70%
20-Dec-20;23.58;28.19;28.46;21.55;1.05M;-16.35%
13-Dec-20;28.19;30.09;30.45;28.09;544.64K;-6.31%
06-Dec-20;30.09;29.82;32.30;29.02;835.29K;0.91%
29-Nov-20;29.82;29.91;32.00;28.90;664.42K;-0.30%
22-Nov-20;29.91;29.95;35.15;28.77;1.02M;-0.17%
15-Nov-20;29.96;29.27;30.97;26.82;892.93K;2.36%
08-Nov-20;29.27;29.96;32.40;28.50;912.78K;-2.30%
01-Nov-20;29.96;31.30;33.23;27.94;967.11K;-4.28%
25-Oct-20;31.30;25.73;40.10;25.28;1.32M;21.65%
18-Oct-20;25.73;42.31;42.31;20.79;758.70K;-39.33%
11-Oct-20;42.41;88.00;213.97;40.11;2.18M;58.07%
04-Oct-20;26.83;22.12;27.41;20.18;1.06M;21.29%
27-Sep-20;22.12;16.12;24.73;14.78;1.72M;37.22%
20-Sep-20;16.12;18.55;18.68;12.59;598.71K;-13.10%
13-Sep-20;18.55;18.71;19.51;17.92;723.60K;-0.86%
06-Sep-20;18.71;20.68;22.12;17.29;728.14K;-9.53%
30-Aug-20;20.68;24.82;25.01;20.02;928.57K;-16.68%
23-Aug-20;24.82;20.70;26.00;20.15;1.17M;19.90%
16-Aug-20;20.70;19.65;21.51;18.35;606.00K;5.34%
09-Aug-20;19.65;21.05;21.73;17.86;734.40K;-6.65%
02-Aug-20;21.05;22.21;22.50;19.85;791.82K;-5.22%
26-Jul-20;22.21;18.96;22.75;18.50;962.80K;25.84%
19-Jul-20;17.65;18.80;19.24;16.63;1.04M;-6.12%
12-Jul-20;18.80;19.42;21.40;17.55;1.62M;-3.19%
05-Jul-20;19.42;20.15;24.83;18.20;1.90M;-3.62%
28-Jun-20;20.15;11.16;25.00;11.13;1.60M;80.52%
21-Jun-20;11.16;11.45;12.61;10.26;633.28K;-2.52%
14-Jun-20;11.45;12.60;12.75;10.60;280.49K;-9.12%
07-Jun-20;12.60;12.47;15.65;11.00;292.23K;1.08%
31-May-20;12.47;11.19;12.80;10.20;115.86K;11.40%
24-May-20;11.19;8.40;13.46;7.88;56.06K;33.20%
17-May-20;8.40;8.40;8.60;7.61;38.97K;0.00%
10-May-20;8.40;7.83;8.94;7.19;65.54K;7.31%
03-May-20;7.83;7.57;7.86;7.28;23.41K;3.35%
26-Apr-20;7.57;7.18;7.89;7.11;32.96K;5.41%
19-Apr-20;7.18;7.90;8.00;6.74;48.95K;-9.05%
12-Apr-20;7.90;7.62;7.93;7.09;28.30K;3.62%
05-Apr-20;7.62;8.16;8.47;7.14;34.94K;-6.60%
29-Mar-20;8.16;7.46;8.57;7.10;76.01K;9.44%
22-Mar-20;7.46;6.38;7.99;6.38;71.77K;16.89%
15-Mar-20;6.38;5.05;6.99;4.50;152.83K;26.48%
08-Mar-20;5.05;6.55;6.75;2.86;170.56K;-23.00%
01-Mar-20;6.55;6.20;6.86;6.13;24.93K;5.71%
23-Feb-20;6.20;6.59;7.00;5.91;51.92K;-5.99%
16-Feb-20;6.59;6.84;7.43;6.52;57.27K;-3.61%
09-Feb-20;6.84;7.19;7.57;6.50;122.09K;-4.84%
02-Feb-20;7.19;7.03;7.30;7.03;31.22K;2.28%
26-Jan-20;7.03;6.74;7.55;6.62;19.01K;4.33%
19-Jan-20;6.74;7.14;7.70;6.49;54.12K;-5.66%
12-Jan-20;7.14;6.72;7.27;6.40;37.85K;6.17%
05-Jan-20;6.72;6.54;6.98;6.20;40.14K;2.80%
29-Dec-19;6.54;6.29;6.64;6.21;16.63K;3.96%
22-Dec-19;6.29;6.32;6.54;5.97;17.00K;-0.49%
15-Dec-19;6.32;6.76;7.00;5.91;27.88K;-6.45%
08-Dec-19;6.76;7.25;8.02;6.56;71.87K;-6.73%
01-Dec-19;7.25;7.00;7.49;6.50;38.10K;3.56%
24-Nov-19;7.00;7.15;7.31;6.10;48.32K;-2.06%
17-Nov-19;7.15;7.50;8.48;6.57;64.17K;-4.72%
10-Nov-19;7.50;8.21;8.47;6.99;59.43K;-8.65%
03-Nov-19;8.21;8.48;8.62;8.04;23.46K;-3.18%
27-Oct-19;8.48;8.23;8.71;7.70;48.53K;3.01%
20-Oct-19;8.23;7.58;8.66;7.42;52.23K;8.60%
13-Oct-19;7.58;7.18;9.36;7.11;68.81K;5.57%
06-Oct-19;7.18;5.95;7.41;5.53;18.73K;20.67%
29-Sep-19;5.95;5.74;5.98;5.50;10.79K;3.62%
22-Sep-19;5.74;5.90;6.39;5.35;42.87K;-2.68%
15-Sep-19;5.90;6.38;6.50;5.49;47.07K;-7.52%
08-Sep-19;6.38;6.72;6.88;5.99;31.16K;-5.06%
01-Sep-19;6.72;6.33;7.20;6.00;48.43K;6.19%
25-Aug-19;6.33;6.72;7.22;6.21;22.40K;-5.79%
18-Aug-19;6.72;6.61;6.95;6.60;12.37K;1.63%
11-Aug-19;6.61;7.17;7.58;6.40;34.47K;-7.86%
04-Aug-19;7.17;7.84;7.98;6.80;28.40K;-8.53%
28-Jul-19;7.84;7.98;7.98;7.55;30.44K;-1.73%
21-Jul-19;7.98;8.80;8.80;7.55;19.78K;-9.33%
14-Jul-19;8.80;8.24;8.87;6.83;69.69K;6.81%
07-Jul-19;8.24;9.10;9.40;7.45;82.01K;-9.44%
30-Jun-19;9.10;9.63;10.00;8.60;31.07K;-5.52%
23-Jun-19;9.63;9.19;10.50;8.56;110.71K;4.78%
16-Jun-19;9.19;8.06;9.28;7.70;138.94K;14.00%
09-Jun-19;8.06;6.95;8.76;6.52;57.20K;16.00%
02-Jun-19;6.95;7.20;7.68;6.21;90.64K;-3.47%
26-May-19;7.20;7.59;8.01;6.61;400.38K;-5.08%
19-May-19;7.59;7.04;8.00;7.04;89.19K;7.71%
12-May-19;7.04;9.01;9.05;6.58;286.93K;-21.83%
05-May-19;9.01;10.36;10.69;8.10;236.29K;-13.07%
28-Apr-19;10.36;6.87;11.39;6.71;196.32K;50.87%
21-Apr-19;6.87;7.06;7.37;5.89;242.79K;-2.66%
14-Apr-19;7.06;4.78;7.94;4.50;670.74K;47.53%
07-Apr-19;4.78;4.21;4.80;3.90;148.27K;13.53%
31-Mar-19;4.21;3.97;4.50;3.86;527.93K;6.17%
24-Mar-19;3.97;3.90;3.97;3.79;281.89K;1.64%
17-Mar-19;3.90;3.85;3.98;3.84;98.66K;1.53%
10-Mar-19;3.85;3.92;4.07;3.79;183.21K;-1.84%
03-Mar-19;3.92;3.99;4.18;3.80;196.09K;-1.80%
24-Feb-19;3.99;4.13;4.19;3.80;154.77K;-3.44%
17-Feb-19;4.13;4.07;4.22;3.94;50.33K;1.65%
10-Feb-19;4.07;3.98;4.22;3.68;52.71K;2.21%
03-Feb-19;3.98;3.63;4.05;3.59;17.71K;9.53%
27-Jan-19;3.63;3.68;3.89;3.35;18.46K;-1.22%
20-Jan-19;3.68;4.03;4.19;3.68;20.73K;-8.76%
13-Jan-19;4.03;3.70;4.20;3.51;34.90K;8.89%
06-Jan-19;3.70;3.82;3.90;3.65;17.71K;-3.14%
30-Dec-18;3.82;3.81;3.99;3.68;33.31K;0.32%
23-Dec-18;3.81;3.69;4.50;3.68;58.97K;3.17%
16-Dec-18;3.69;2.99;4.77;2.99;98.95K;23.49%
09-Dec-18;2.99;2.96;3.20;2.58;31.14K;0.98%
02-Dec-18;2.96;3.51;3.51;2.73;43.23K;-15.67%
25-Nov-18;3.51;3.70;3.78;2.79;64.05K;-5.14%
18-Nov-18;3.70;4.48;4.60;3.30;31.66K;-17.41%
11-Nov-18;4.48;4.83;5.05;4.18;45.70K;-7.25%
04-Nov-18;4.83;4.88;5.10;4.70;27.59K;-1.02%
28-Oct-18;4.88;4.96;5.12;4.52;36.13K;-1.61%
21-Oct-18;4.96;5.22;5.24;4.90;18.58K;-4.98%
14-Oct-18;5.22;4.99;5.33;4.90;31.25K;4.61%
07-Oct-18;4.99;5.37;5.38;4.83;22.44K;-7.08%
30-Sep-18;5.37;5.17;5.40;5.01;16.53K;3.87%
23-Sep-18;5.17;5.28;5.53;4.61;32.60K;-2.08%
16-Sep-18;5.28;5.34;5.52;4.95;33.25K;-1.12%
09-Sep-18;5.34;5.45;5.59;4.85;21.71K;-2.02%
02-Sep-18;5.45;7.06;7.06;5.30;25.38K;-22.80%
26-Aug-18;7.06;5.73;7.20;5.46;30.36K;23.21%
19-Aug-18;5.73;5.74;6.00;5.10;18.27K;-0.17%
12-Aug-18;5.74;6.35;6.73;4.64;40.96K;-9.61%
05-Aug-18;6.35;8.01;8.56;5.55;31.06K;-20.72%
29-Jul-18;8.01;8.36;8.51;8.00;37.62K;-4.19%
22-Jul-18;8.36;8.78;8.91;8.28;23.26K;-4.78%
15-Jul-18;8.78;8.36;9.36;8.30;41.99K;5.02%
08-Jul-18;8.36;9.38;9.90;8.18;25.31K;-10.87%
01-Jul-18;9.38;8.46;12.02;8.06;45.13K;12.07%
24-Jun-18;8.37;8.49;9.45;7.30;32.74K;-1.41%
17-Jun-18;8.49;9.66;10.19;7.98;51.62K;-12.11%
10-Jun-18;9.66;11.21;11.56;9.15;116.36K;-13.83%
03-Jun-18;11.21;12.15;12.26;10.89;53.86K;-7.74%
27-May-18;12.15;11.56;12.50;10.68;63.21K;5.10%
20-May-18;11.56;13.79;14.05;10.60;88.86K;-16.17%
13-May-18;13.79;13.11;14.50;12.19;75.23K;5.19%
06-May-18;13.11;15.55;16.89;10.88;187.04K;-15.69%
29-Apr-18;15.55;16.92;17.67;0.00;236.74K;-8.10%
22-Apr-18;16.92;16.50;17.55;14.88;259.92K;2.55%
15-Apr-18;16.50;13.35;18.93;12.42;280.07K;23.60%
08-Apr-18;13.35;9.34;13.59;9.06;139.20K;42.93%
01-Apr-18;9.34;8.92;9.77;8.00;37.13K;4.71%
25-Mar-18;8.92;9.48;9.48;8.40;53.26K;-5.91%
18-Mar-18;9.48;10.71;11.08;6.01;163.14K;-11.48%
11-Mar-18;10.71;13.11;14.26;10.00;35.10K;-18.31%
04-Mar-18;13.11;18.27;18.75;12.19;35.80K;-28.24%
25-Feb-18;18.27;18.70;20.32;17.08;38.99K;-2.30%
18-Feb-18;18.70;22.24;23.59;18.26;36.20K;-15.92%
11-Feb-18;22.24;20.47;22.49;19.38;23.90K;8.65%
04-Feb-18;20.47;23.93;24.69;16.00;73.85K;-14.46%
