Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;54.895;62.753;64.660;53.113;11.13M;-12.55%
03-Apr-22;62.776;72.252;77.564;61.000;16.03M;-13.12%
27-Mar-22;72.254;67.539;79.307;62.222;16.72M;7.09%
20-Mar-22;67.472;62.870;71.799;60.131;16.80M;7.32%
13-Mar-22;62.867;66.563;68.330;59.426;17.01M;-5.57%
06-Mar-22;66.574;70.921;83.000;59.309;47.46M;-6.13%
27-Feb-22;70.921;66.299;82.986;60.395;29.00M;7.07%
20-Feb-22;66.237;71.792;73.726;51.500;35.13M;-7.76%
13-Feb-22;71.807;73.403;88.843;65.000;27.30M;-2.17%
06-Feb-22;73.403;61.408;103.206;60.712;43.44M;19.04%
30-Jan-22;61.660;64.588;64.962;51.022;17.78M;-4.52%
23-Jan-22;64.580;50.204;67.999;45.239;24.89M;28.64%
16-Jan-22;50.204;93.953;93.953;44.194;27.48M;-46.45%
09-Jan-22;93.758;90.228;109.205;77.923;19.88M;3.89%
02-Jan-22;90.246;127.385;128.153;81.825;23.65M;-29.15%
26-Dec-21;127.385;137.595;168.998;118.801;28.30M;-7.42%
19-Dec-21;137.598;112.269;139.999;97.299;22.90M;22.20%
12-Dec-21;112.605;100.862;142.441;86.370;25.13M;11.71%
05-Dec-21;100.804;120.129;145.304;89.076;29.05M;-16.39%
28-Nov-21;120.570;171.500;189.550;100.000;17.61M;-29.66%
21-Nov-21;171.402;199.890;212.200;159.593;24.22M;-14.25%
14-Nov-21;199.890;227.760;243.777;172.158;27.48M;-12.24%
07-Nov-21;227.760;148.951;283.000;142.799;60.73M;52.91%
31-Oct-21;148.951;60.615;149.000;56.815;25.89M;145.73%
