Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;111.600;112.800;114.500;101.900;2.26M;-1.06%
03-Apr-22;112.800;124.700;129.500;109.900;2.67M;-9.54%
27-Mar-22;124.700;124.900;134.000;119.200;3.58M;-0.16%
20-Mar-22;124.900;116.900;127.700;111.500;3.14M;6.84%
13-Mar-22;116.900;105.500;117.100;100.900;306.14M;10.81%
06-Mar-22;105.500;104.900;109.200;96.400;344.81M;0.57%
27-Feb-22;104.900;108.200;115.800;99.100;124.75M;-3.05%
20-Feb-22;108.200;115.600;115.800;91.700;4.61M;-6.40%
13-Feb-22;115.600;126.700;132.400;113.000;3.16M;-8.76%
06-Feb-22;126.700;121.800;143.800;120.900;4.42M;4.02%
30-Jan-22;121.800;110.900;123.800;104.400;3.55M;9.93%
23-Jan-22;110.800;108.300;116.500;97.900;4.53M;2.31%
16-Jan-22;108.300;147.700;153.500;96.600;4.61M;-26.68%
09-Jan-22;147.700;129.400;150.500;121.100;3.38M;14.14%
02-Jan-22;129.400;150.800;153.200;125.300;3.45M;-14.19%
26-Dec-21;150.800;157.700;161.100;143.000;3.48M;-4.38%
19-Dec-21;157.700;148.700;166.700;145.400;3.40M;6.05%
12-Dec-21;148.700;157.600;162.400;141.500;3.52M;-5.65%
05-Dec-21;157.600;162.900;169.700;141.500;5.82M;-3.25%
28-Nov-21;162.900;195.100;218.900;130.300;5.51M;-16.55%
21-Nov-21;195.200;226.800;230.100;190.400;6.84M;-13.93%
14-Nov-21;226.800;257.700;281.100;199.800;10.09M;-11.99%
07-Nov-21;257.700;197.600;295.100;197.100;15.01M;30.41%
31-Oct-21;197.600;189.512;208.425;187.665;166.80M;4.25%
24-Oct-21;189.552;196.350;204.809;171.370;327.91M;-3.46%
17-Oct-21;196.350;185.770;214.459;176.626;489.59M;5.77%
10-Oct-21;185.641;179.820;192.839;166.560;495.18M;3.24%
03-Oct-21;179.810;169.050;186.930;161.679;480.41M;6.37%
26-Sep-21;169.040;150.850;172.648;139.921;463.99M;11.99%
19-Sep-21;150.940;181.341;181.650;141.813;488.99M;-16.76%
12-Sep-21;181.331;178.530;233.814;170.921;489.14M;1.57%
05-Sep-21;178.520;212.020;232.270;163.417;312.44M;-15.89%
29-Aug-21;212.239;175.480;224.990;165.740;200.99M;20.96%
22-Aug-21;175.460;179.697;191.260;165.037;256.70M;-2.36%
15-Aug-21;179.698;182.791;188.739;162.752;273.55M;-1.65%
08-Aug-21;182.710;155.980;184.955;145.347;186.15M;17.08%
01-Aug-21;156.057;144.093;156.299;135.680;78.14M;7.86%
25-Jul-21;144.691;125.886;146.478;123.781;75.19M;15.26%
18-Jul-21;125.531;119.870;127.399;104.049;95.61M;4.72%
11-Jul-21;119.870;133.990;139.678;117.702;103.73M;-10.53%
04-Jul-21;133.982;140.008;148.058;127.795;83.88M;-4.30%
27-Jun-21;140.008;126.821;149.127;124.713;67.76M;10.40%
20-Jun-21;126.814;152.599;156.109;105.117;103.50M;-16.88%
13-Jun-21;152.566;161.704;181.109;151.669;108.63M;-5.61%
06-Jun-21;161.633;172.991;182.214;145.856;129.50M;-6.56%
30-May-21;172.990;163.888;197.602;155.270;167.62M;5.80%
23-May-21;163.501;169.429;208.583;118.471;153.84M;-3.49%
16-May-21;169.416;299.781;323.780;145.878;1.26B;-43.43%
09-May-21;299.500;347.129;412.802;291.625;1.52B;-13.70%
02-May-21;347.030;276.760;372.264;264.913;1.44B;25.39%
25-Apr-21;276.750;224.941;278.468;211.328;1.18B;22.89%
18-Apr-21;225.197;301.084;304.464;207.384;1.61B;-25.17%
11-Apr-21;300.927;256.269;335.268;240.174;774.69M;17.43%
04-Apr-21;256.269;195.209;256.367;192.371;1.38B;31.26%
28-Mar-21;195.231;184.079;217.658;180.069;1.14B;6.07%
21-Mar-21;184.061;200.079;201.799;167.922;1.04B;-7.97%
14-Mar-21;199.991;226.043;228.041;191.631;633.36M;-11.59%
07-Mar-21;226.208;182.839;230.087;179.612;877.50M;23.74%
28-Feb-21;182.816;171.846;196.097;153.951;949.50M;6.37%
21-Feb-21;171.868;226.831;233.584;157.993;1.01B;-24.45%
14-Feb-21;227.500;226.009;247.073;185.652;1.44B;0.69%
07-Feb-21;225.942;155.572;228.816;145.275;1.12B;45.40%
31-Jan-21;155.393;133.378;164.031;125.701;839.37M;16.53%
24-Jan-21;133.349;137.650;147.608;118.291;755.29M;-3.12%
17-Jan-21;137.642;143.541;166.052;122.881;2.44B;-4.10%
10-Jan-21;143.531;177.187;185.671;112.897;3.08B;-18.99%
03-Jan-21;177.179;136.932;181.849;135.401;3.09B;29.53%
27-Dec-20;136.781;129.657;140.646;120.059;1.97B;5.52%
20-Dec-20;129.620;119.867;135.126;95.362;2.05B;8.16%
13-Dec-20;119.840;76.675;124.044;75.525;1.41B;56.34%
06-Dec-20;76.656;83.146;86.787;70.010;983.89M;-7.82%
29-Nov-20;83.154;72.676;92.881;71.528;1.32B;14.41%
22-Nov-20;72.683;87.190;93.952;64.511;1.46B;-16.60%
15-Nov-20;87.149;63.799;88.379;61.045;64.35M;36.62%
08-Nov-20;63.787;58.862;66.668;57.082;56.22M;8.38%
01-Nov-20;58.856;55.732;64.761;51.502;63.66M;5.61%
25-Oct-20;55.730;59.266;60.568;52.281;74.81M;-5.96%
18-Oct-20;59.263;46.948;59.610;46.450;93.69M;26.18%
11-Oct-20;46.968;48.888;51.515;45.624;77.80M;-3.87%
04-Oct-20;48.861;45.492;50.549;45.009;83.98M;7.34%
27-Sep-20;45.518;46.019;48.477;43.299;87.41M;-1.15%
20-Sep-20;46.047;48.492;48.527;41.932;70.74M;-5.04%
13-Sep-20;48.492;50.833;51.020;46.997;69.38M;-4.59%
06-Sep-20;50.828;47.812;51.309;45.262;95.46M;6.31%
30-Aug-20;47.812;56.952;64.273;45.562;106.13M;-16.05%
23-Aug-20;56.952;60.228;62.987;54.046;91.07M;-5.44%
16-Aug-20;60.228;59.822;68.877;57.789;125.04M;0.60%
09-Aug-20;59.868;58.445;60.593;51.726;89.87M;2.43%
02-Aug-20;58.446;61.637;65.098;52.585;85.70M;-5.18%
26-Jul-20;61.637;49.154;62.217;47.001;108.04M;25.40%
19-Jul-20;49.153;42.468;49.503;41.486;52.95M;15.74%
12-Jul-20;42.468;44.696;45.586;40.967;101.27M;-4.99%
05-Jul-20;44.697;42.077;45.866;40.812;71.83M;6.23%
28-Jun-20;42.077;41.077;42.243;40.391;46.57M;2.43%
21-Jun-20;41.078;43.588;44.648;39.323;54.52M;-5.76%
14-Jun-20;43.590;45.107;45.118;41.858;54.49M;-3.36%
07-Jun-20;45.104;46.795;47.051;42.161;70.41M;-3.61%
31-May-20;46.794;47.730;49.930;44.754;87.29M;-1.99%
24-May-20;47.746;43.874;48.011;41.831;63.62M;8.82%
17-May-20;43.875;43.260;46.503;41.733;86.44M;1.41%
10-May-20;43.264;47.019;47.019;39.575;93.70M;-7.99%
03-May-20;47.020;49.214;49.929;44.551;79.59M;-4.46%
26-Apr-20;49.212;44.376;50.800;43.240;114.16M;10.78%
19-Apr-20;44.423;44.142;45.578;39.638;131.37M;0.65%
12-Apr-20;44.137;42.531;44.400;38.012;79.82M;3.77%
05-Apr-20;42.532;40.709;47.605;39.948;96.94M;4.48%
29-Mar-20;40.709;38.848;42.712;37.117;118.91M;4.78%
22-Mar-20;38.851;38.347;41.131;34.839;70.29M;1.31%
15-Mar-20;38.347;34.435;43.486;29.447;114.28M;11.34%
08-Mar-20;34.440;60.454;60.456;24.353;156.58M;-43.03%
01-Mar-20;60.454;58.078;63.813;56.293;64.28M;4.09%
23-Feb-20;58.078;74.817;79.920;56.953;97.91M;-22.37%
16-Feb-20;74.818;76.744;80.681;66.495;85.95M;-2.51%
09-Feb-20;76.741;76.613;84.086;72.362;66.93M;0.17%
02-Feb-20;76.613;70.751;77.760;70.751;61.68M;8.29%
26-Jan-20;70.751;53.269;72.714;52.919;69.64M;32.81%
19-Jan-20;53.272;59.285;62.314;50.870;46.41M;-10.15%
12-Jan-20;59.290;49.436;77.932;48.878;70.61M;19.93%
05-Jan-20;49.438;42.855;49.438;42.727;60.04M;15.36%
29-Dec-19;42.855;42.751;44.180;38.972;51.76M;0.24%
22-Dec-19;42.751;39.678;42.751;39.486;56.89M;7.74%
15-Dec-19;39.678;43.273;44.000;35.944;74.11M;-8.31%
08-Dec-19;43.273;45.237;46.161;42.982;58.34M;-4.34%
01-Dec-19;45.237;47.523;48.455;43.854;81.31M;-4.81%
24-Nov-19;47.523;48.182;49.254;42.513;84.01M;-1.36%
17-Nov-19;48.180;58.285;59.926;43.989;89.06M;-17.34%
10-Nov-19;58.285;62.096;65.384;56.727;73.98M;-6.13%
03-Nov-19;62.093;58.281;64.366;57.272;97.73M;6.54%
27-Oct-19;58.281;56.751;62.446;55.720;96.88M;2.69%
20-Oct-19;56.752;53.739;59.383;47.605;68.92M;5.61%
13-Oct-19;53.737;55.737;57.558;51.398;66.86M;-3.59%
06-Oct-19;55.737;56.803;59.838;53.534;70.76M;-1.87%
29-Sep-19;56.798;55.460;57.401;52.592;71.19M;2.42%
22-Sep-19;55.459;73.176;74.079;51.163;93.21M;-24.21%
15-Sep-19;73.178;70.491;79.936;69.614;64.49M;3.81%
08-Sep-19;70.491;68.788;72.761;67.706;53.04M;2.47%
01-Sep-19;68.790;64.282;70.826;63.946;57.69M;7.03%
25-Aug-19;64.271;73.290;75.051;62.311;54.73M;-12.29%
18-Aug-19;73.274;72.688;78.762;58.552;58.09M;0.81%
11-Aug-19;72.686;85.497;91.499;71.699;81.60M;-15.00%
04-Aug-19;85.512;94.190;106.384;82.623;79.44M;-9.22%
28-Jul-19;94.192;88.789;100.312;84.125;60.90M;6.07%
21-Jul-19;88.803;100.276;101.369;87.103;65.26M;-11.44%
14-Jul-19;100.279;101.206;105.370;76.708;112.53M;-0.92%
07-Jul-19;101.207;118.424;124.828;95.453;77.11M;-14.54%
30-Jun-19;118.421;133.879;136.990;112.872;83.88M;-11.54%
23-Jun-19;133.876;142.260;143.110;111.821;89.91M;-5.89%
16-Jun-19;142.255;137.616;145.500;128.679;75.93M;3.41%
09-Jun-19;137.567;118.015;142.604;111.855;93.68M;16.55%
02-Jun-19;118.036;112.364;120.569;98.578;91.55M;5.01%
26-May-19;112.409;102.712;121.587;99.242;111.36M;9.44%
19-May-19;102.714;86.635;104.597;85.228;113.76M;18.57%
12-May-19;86.624;88.047;106.543;83.800;159.35M;-1.81%
05-May-19;88.224;77.806;95.247;71.824;79.51M;13.39%
28-Apr-19;77.806;72.218;82.339;66.768;82.81M;7.73%
21-Apr-19;72.221;80.991;81.450;70.423;82.32M;-10.83%
14-Apr-19;80.990;77.670;84.299;75.494;64.86M;4.27%
07-Apr-19;77.675;92.291;95.428;74.998;63.63M;-15.85%
31-Mar-19;92.300;60.788;97.788;60.267;104.07M;51.84%
24-Mar-19;60.787;61.044;63.161;57.790;70.53M;-0.42%
17-Mar-19;61.044;61.322;62.571;57.461;77.80M;-0.45%
10-Mar-19;61.321;57.989;61.978;52.689;86.00M;5.74%
03-Mar-19;57.992;48.619;59.515;44.984;112.29M;19.30%
24-Feb-19;48.609;51.424;53.406;42.723;71.82M;-5.47%
17-Feb-19;51.424;43.422;52.188;42.855;68.90M;18.43%
10-Feb-19;43.422;44.707;47.293;40.721;61.37M;-2.88%
03-Feb-19;44.709;34.629;46.151;32.441;60.56M;29.12%
27-Jan-19;34.625;32.899;34.954;30.130;52.35M;5.25%
20-Jan-19;32.900;32.081;33.864;29.660;44.19M;2.54%
13-Jan-19;32.086;31.771;32.910;29.378;41.73M;0.98%
06-Jan-19;31.774;34.438;40.800;31.079;44.85M;-7.74%
30-Dec-18;34.439;30.370;35.979;29.483;22.27M;13.61%
23-Dec-18;30.314;31.534;36.322;27.407;23.38M;-3.87%
16-Dec-18;31.534;23.649;33.054;23.635;36.63M;33.33%
09-Dec-18;23.651;24.388;26.807;22.610;27.45M;-3.02%
02-Dec-18;24.387;34.205;60.670;22.362;30.59M;-28.72%
25-Nov-18;34.212;29.675;36.305;27.669;30.19M;15.29%
18-Nov-18;29.675;42.387;44.127;29.113;34.72M;-29.98%
11-Nov-18;42.383;52.475;52.562;40.949;18.24M;-19.23%
04-Nov-18;52.477;51.115;56.805;48.437;12.48M;2.66%
28-Oct-18;51.117;52.363;52.501;48.161;15.81M;-2.38%
21-Oct-18;52.364;54.233;54.751;50.648;17.22M;-3.44%
14-Oct-18;54.231;54.063;61.175;51.838;15.80M;0.32%
07-Oct-18;54.059;57.951;60.163;49.426;16.14M;-6.72%
30-Sep-18;57.951;61.703;63.035;56.692;30.43M;-6.08%
23-Sep-18;61.703;60.628;65.486;54.430;23.52M;1.77%
16-Sep-18;60.628;56.429;62.610;50.625;22.28M;7.44%
09-Sep-18;56.429;53.082;58.873;47.344;25.97M;6.30%
02-Sep-18;53.082;66.511;69.383;52.073;21.81M;-20.19%
26-Aug-18;66.511;57.888;67.822;55.880;21.20M;14.90%
19-Aug-18;57.888;57.182;59.189;53.330;17.50M;1.23%
12-Aug-18;57.182;57.753;62.205;48.926;18.03M;-0.99%
05-Aug-18;57.753;72.971;76.712;55.122;14.95M;-20.85%
29-Jul-18;72.971;84.329;85.458;72.291;9.37M;-13.47%
22-Jul-18;84.329;84.186;90.702;81.203;10.80M;0.16%
15-Jul-18;84.196;76.541;94.662;75.655;11.36M;10.00%
08-Jul-18;76.542;85.048;85.664;74.757;10.37M;-9.99%
01-Jul-18;85.040;81.278;89.591;78.142;10.17M;4.64%
24-Jun-18;81.272;82.815;87.945;72.672;13.81M;-1.86%
17-Jun-18;82.816;96.716;101.452;80.528;10.66M;-14.37%
10-Jun-18;96.718;117.601;117.606;89.354;9.13M;-17.76%
03-Jun-18;117.598;123.484;127.863;116.310;6.58M;-4.77%
27-May-18;123.485;118.629;124.323;110.033;6.34M;4.10%
20-May-18;118.625;135.163;140.567;115.181;6.66M;-12.24%
13-May-18;135.162;141.881;152.628;129.180;8.38M;-4.51%
06-May-18;141.540;178.610;183.877;131.066;10.22M;-20.72%
29-Apr-18;178.526;152.143;183.507;142.923;9.33M;17.34%
22-Apr-18;152.143;148.612;166.026;141.789;10.44M;2.33%
15-Apr-18;148.686;126.518;156.822;125.176;10.02M;17.52%
08-Apr-18;126.514;116.087;133.649;111.733;9.47M;8.98%
01-Apr-18;116.087;116.333;137.024;109.881;9.00M;-0.22%
25-Mar-18;116.340;159.245;162.079;109.975;11.80M;-26.94%
18-Mar-18;159.229;152.018;178.699;139.184;13.12M;4.73%
11-Mar-18;152.039;176.796;196.486;120.080;14.10M;-13.98%
04-Mar-18;176.751;210.266;215.753;138.588;16.13M;-15.94%
25-Feb-18;210.271;206.412;231.202;199.691;13.73M;1.87%
18-Feb-18;206.412;228.753;251.122;182.445;18.73M;-9.64%
11-Feb-18;228.445;155.025;236.507;141.683;17.78M;47.36%
04-Feb-18;155.029;160.960;174.553;106.386;19.24M;-3.69%
28-Jan-18;160.974;179.650;192.470;104.906;11.80M;-10.40%
21-Jan-18;179.650;210.910;211.090;165.010;9.07M;-14.82%
14-Jan-18;210.910;258.440;267.980;135.000;22.84M;-18.26%
07-Jan-18;258.020;279.420;286.950;220.000;13.52M;-7.66%
31-Dec-17;279.420;216.030;304.000;210.000;15.21M;29.34%
24-Dec-17;216.030;293.030;295.990;206.000;15.05M;-26.28%
17-Dec-17;293.030;306.860;380.000;144.000;40.08M;-4.51%
10-Dec-17;306.860;160.950;420.000;135.450;55.78M;90.66%
03-Dec-17;160.950;99.650;199.000;95.010;39.33M;61.52%
26-Nov-17;99.650;89.130;104.750;76.010;29.05M;11.80%
19-Nov-17;89.130;69.350;89.880;68.000;17.78M;28.52%
12-Nov-17;69.350;62.490;72.500;57.080;15.45M;10.98%
05-Nov-17;62.490;55.090;67.240;53.370;16.22M;13.43%
29-Oct-17;55.090;54.520;58.390;50.250;7.81M;1.05%
22-Oct-17;54.520;58.140;59.190;52.450;7.48M;-6.23%
15-Oct-17;58.140;63.940;69.590;52.900;14.24M;-9.07%
08-Oct-17;63.940;52.570;66.850;48.150;14.41M;21.63%
01-Oct-17;52.570;55.260;55.330;50.250;5.48M;-4.87%
24-Sep-17;55.260;49.410;57.440;47.100;12.45M;11.84%
17-Sep-17;49.410;52.470;58.000;45.000;18.01M;-5.83%
10-Sep-17;52.470;71.270;71.930;33.560;34.82M;-26.38%
03-Sep-17;71.270;79.840;84.620;64.000;23.80M;-10.73%
27-Aug-17;79.840;51.550;98.280;51.200;27.80M;54.88%
20-Aug-17;51.550;45.180;55.000;44.070;8.79M;14.10%
