Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;802.369;974.363;974.800;791.178;26.35M;-17.65%
03-Apr-22;974.363;1.151.179;1.193.980;922.483;34.58M;-15.35%
27-Mar-22;1.151.039;913.871;1.170.050;896.695;33.04M;25.95%
20-Mar-22;913.871;921.658;977.437;889.285;23.98M;-0.85%
13-Mar-22;921.703;860.400;957.399;826.300;2.58B;7.26%
06-Mar-22;859.301;875.500;1.044.902;756.500;4.90B;-1.85%
27-Feb-22;875.500;780.576;964.673;705.195;1.33B;12.17%
20-Feb-22;780.487;504.595;795.895;473.237;68.49M;54.68%
13-Feb-22;504.595;521.417;582.695;490.604;22.80M;-3.07%
06-Feb-22;520.558;553.621;605.902;494.308;35.95M;-6.10%
30-Jan-22;554.382;508.404;579.943;434.980;50.93M;9.04%
23-Jan-22;508.404;628.976;702.462;475.885;73.21M;-19.17%
16-Jan-22;628.976;872.702;875.410;539.832;46.67M;-27.93%
09-Jan-22;872.776;669.095;878.593;653.097;38.63M;30.49%
02-Jan-22;668.859;916.753;939.498;625.471;37.76M;-27.04%
26-Dec-21;916.686;982.924;1.034.910;811.727;36.92M;-6.74%
19-Dec-21;982.924;741.848;1.011.509;722.921;69.04M;32.50%
12-Dec-21;741.848;601.161;742.090;522.804;55.27M;23.83%
05-Dec-21;599.099;753.356;780.841;577.602;88.49M;-20.51%
28-Nov-21;753.657;438.920;780.658;422.989;77.40M;71.60%
21-Nov-21;439.193;451.988;453.587;378.498;43.03M;-2.78%
14-Nov-21;451.767;520.746;524.656;388.875;38.90M;-13.24%
07-Nov-21;520.699;511.481;547.987;445.045;32.39M;1.82%
31-Oct-21;511.395;432.464;530.913;412.159;36.16M;18.25%
24-Oct-21;432.464;431.063;469.184;381.385;44.98M;0.28%
17-Oct-21;431.246;365.909;455.045;350.078;56.10M;17.86%
10-Oct-21;365.909;424.800;432.129;352.408;48.69M;-13.86%
03-Oct-21;424.800;414.988;494.883;404.158;73.00M;2.41%
26-Sep-21;414.799;378.781;435.224;330.106;77.06M;9.49%
19-Sep-21;378.853;347.720;412.137;239.772;134.54M;8.95%
