Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;21.282;23.380;23.528;20.382;137.19M;-9.04%
03-Apr-22;23.396;26.377;27.669;22.475;245.35M;-11.30%
27-Mar-22;26.377;26.174;28.415;24.603;304.71M;0.77%
20-Mar-22;26.176;25.066;27.208;23.567;227.54M;4.46%
13-Mar-22;25.058;23.096;25.538;22.249;464.47M;8.49%
06-Mar-22;23.096;25.583;25.923;22.983;409.12M;-9.76%
27-Feb-22;25.596;26.805;29.229;24.079;434.98M;-4.51%
20-Feb-22;26.805;28.873;29.496;22.008;523.88M;-7.16%
13-Feb-22;28.873;29.077;33.998;27.179;352.92M;-0.69%
06-Feb-22;29.073;30.149;35.457;28.233;474.39M;-3.57%
30-Jan-22;30.149;23.686;30.986;23.572;434.15M;27.16%
23-Jan-22;23.710;20.377;24.139;18.140;441.04M;16.10%
16-Jan-22;20.421;29.890;31.920;17.098;319.51M;-31.68%
09-Jan-22;29.890;29.336;31.053;26.359;270.51M;1.90%
02-Jan-22;29.333;33.474;34.372;26.908;455.57M;-12.36%
26-Dec-21;33.472;37.447;39.683;31.667;339.95M;-10.62%
19-Dec-21;37.447;34.339;38.554;30.285;511.75M;9.04%
12-Dec-21;34.342;34.705;36.905;29.334;368.15M;-1.03%
05-Dec-21;34.699;41.155;41.506;31.673;630.22M;-15.69%
28-Nov-21;41.157;47.038;52.280;25.887;739.73M;-12.50%
21-Nov-21;47.038;40.152;58.956;35.303;2.10B;17.15%
14-Nov-21;40.151;32.439;43.572;27.451;219.50M;23.77%
07-Nov-21;32.439;28.118;37.982;22.045;235.02M;15.41%
31-Oct-21;28.108;36.047;41.820;23.382;409.71M;-22.02%
24-Oct-21;36.047;0.7938;48.572;0.7141;208.41M;354.11%
17-Oct-21;0.7938;0.8084;0.8429;0.7364;20.35M;-1.92%
10-Oct-21;0.8093;0.8410;0.8628;0.7120;24.76M;-3.64%
03-Oct-21;0.8399;0.7520;0.8399;0.7226;32.74M;11.68%
26-Sep-21;0.7520;0.6930;0.7819;0.6162;29.41M;8.52%
19-Sep-21;0.6930;0.8225;0.8243;0.5970;30.80M;-15.72%
12-Sep-21;0.8223;0.8306;0.8812;0.7624;16.59M;-1.00%
05-Sep-21;0.8306;10.542;10.812;0.7185;53.30M;-21.21%
29-Aug-21;10.542;0.9224;11.052;0.8796;60.81M;14.29%
22-Aug-21;0.9224;0.8764;0.9941;0.8314;69.55M;5.24%
15-Aug-21;0.8764;0.8385;0.9461;0.7508;40.85M;4.53%
08-Aug-21;0.8385;0.7721;0.8629;0.6961;50.24M;8.54%
01-Aug-21;0.7725;0.7204;0.7828;0.6615;34.19M;7.28%
25-Jul-21;0.7200;0.6879;0.7520;0.6393;48.39M;2.48%
18-Jul-21;0.7026;0.6033;0.7359;0.4936;57.93M;16.53%
11-Jul-21;0.6029;0.7497;0.7838;0.5889;47.59M;-19.52%
04-Jul-21;0.7492;0.5604;0.8433;0.5302;71.51M;33.70%
27-Jun-21;0.5604;0.4700;0.5960;0.4548;20.71M;19.23%
20-Jun-21;0.4700;0.6312;0.6357;0.3719;39.33M;-25.54%
13-Jun-21;0.6312;0.6567;0.7579;0.6153;36.92M;-3.70%
06-Jun-21;0.6555;0.8172;0.8357;0.6278;163.77M;-19.79%
30-May-21;0.8172;0.7454;0.9034;0.6920;134.74M;9.63%
23-May-21;0.7454;0.7581;10.143;0.4915;276.09M;-1.68%
16-May-21;0.7581;12.029;12.908;0.4899;311.66M;-37.03%
09-May-21;12.039;14.445;15.163;11.624;142.06M;-16.65%
02-May-21;14.443;14.600;15.979;12.544;188.60M;-1.07%
25-Apr-21;14.600;11.050;15.521;10.285;266.81M;32.10%
18-Apr-21;11.052;15.199;15.330;0.9602;478.70M;-27.29%
11-Apr-21;15.199;10.142;16.265;10.028;371.82M;49.78%
04-Apr-21;10.148;0.9433;11.200;0.8343;292.91M;7.58%
28-Mar-21;0.9433;0.9255;11.823;0.9063;407.79M;1.93%
21-Mar-21;0.9255;0.8957;10.264;0.8020;277.27M;3.73%
14-Mar-21;0.8922;0.9710;12.109;0.7756;925.46M;-8.11%
07-Mar-21;0.9709;0.3589;11.733;0.3503;818.26M;170.52%
28-Feb-21;0.3589;0.2532;0.4449;0.2203;592.48M;41.88%
21-Feb-21;0.2530;0.3019;0.3283;0.1867;358.43M;-16.21%
14-Feb-21;0.3019;0.3448;0.3698;0.2595;387.51M;-12.44%
07-Feb-21;0.3448;0.2359;0.3732;0.2174;549.32M;46.17%
31-Jan-21;0.2359;0.1577;0.2709;0.1450;376.34M;49.62%
24-Jan-21;0.1577;0.1932;0.1936;0.1407;361.34M;-18.38%
17-Jan-21;0.1932;0.1088;0.2013;0.1027;714.72M;77.48%
10-Jan-21;0.1088;0.1156;0.1210;0.0813;374.99M;-5.78%
03-Jan-21;0.1155;0.0794;0.1601;0.0750;705.51M;45.16%
27-Dec-20;0.0796;0.0788;0.0849;0.0750;155.13M;1.04%
20-Dec-20;0.0788;0.0921;0.0973;0.0700;243.50M;-14.50%
13-Dec-20;0.0921;0.0827;0.0948;0.0824;149.98M;11.44%
06-Dec-20;0.0827;0.0920;0.0929;0.0766;86.21M;-10.13%
29-Nov-20;0.0920;0.0833;0.0992;0.0803;135.90M;10.51%
22-Nov-20;0.0833;0.0871;0.0981;0.0761;139.58M;-4.39%
15-Nov-20;0.0871;0.0793;0.0893;0.0739;113.89M;9.82%
08-Nov-20;0.0793;0.0748;0.1110;0.0740;246.96M;5.96%
01-Nov-20;0.0748;0.0646;0.0905;0.0600;151.41M;15.90%
25-Oct-20;0.0646;0.0746;0.0752;0.0606;45.09M;-13.48%
18-Oct-20;0.0746;0.0739;0.0784;0.0709;36.04M;1.10%
11-Oct-20;0.0738;0.0799;0.0807;0.0704;32.15M;-7.62%
04-Oct-20;0.0799;0.0751;0.0844;0.0688;44.65M;6.40%
27-Sep-20;0.0751;0.0801;0.0912;0.0716;99.08M;-6.23%
20-Sep-20;0.0801;0.0807;0.0824;0.0667;82.24M;-0.73%
13-Sep-20;0.0807;0.0848;0.0858;0.0763;53.49M;-4.98%
06-Sep-20;0.0849;0.0785;0.0859;0.0699;364.07M;8.15%
30-Aug-20;0.0785;0.1093;0.1113;0.0722;1.79B;-28.17%
23-Aug-20;0.1093;0.0970;0.1213;0.0821;2.25B;12.70%
16-Aug-20;0.0970;0.0985;0.1118;0.0807;756.21M;-1.54%
09-Aug-20;0.0985;0.1027;0.1316;0.0847;1.53B;-4.10%
02-Aug-20;0.1027;0.0465;0.1043;0.0425;1.28B;120.87%
26-Jul-20;0.0465;0.0437;0.0517;0.0418;1.49B;0.23%
19-Jul-20;0.0464;0.0395;0.0530;0.0395;1.25B;17.47%
12-Jul-20;0.0395;0.0406;0.0426;0.0376;859.85M;-2.71%
05-Jul-20;0.0406;0.0392;0.0422;0.0374;894.81M;3.57%
28-Jun-20;0.0392;0.0369;0.0401;0.0354;737.96M;6.21%
21-Jun-20;0.0369;0.0422;0.0468;0.0362;890.13M;-12.53%
14-Jun-20;0.0422;0.0429;0.0440;0.0370;798.37M;-1.64%
07-Jun-20;0.0429;0.0415;0.0464;0.0393;784.05M;3.40%
31-May-20;0.0415;0.0404;0.0425;0.0374;1.11B;2.69%
24-May-20;0.0404;0.0394;0.0440;0.0359;1.36B;2.54%
17-May-20;0.0394;0.0360;0.0414;0.0346;1.41B;9.45%
10-May-20;0.0360;0.0374;0.0389;0.0315;1.06B;-3.76%
03-May-20;0.0374;0.0365;0.0423;0.0321;898.17M;2.44%
26-Apr-20;0.0365;0.0291;0.0405;0.0288;923.39M;25.52%
19-Apr-20;0.0291;0.0298;0.0301;0.0266;627.99M;-2.40%
12-Apr-20;0.0298;0.0265;0.0305;0.0256;622.99M;12.52%
05-Apr-20;0.0265;0.0263;0.0297;0.0259;758.29M;0.66%
29-Mar-20;0.0263;0.0241;0.0273;0.0222;500.98M;9.25%
22-Mar-20;0.0241;0.0246;0.0329;0.0226;959.41M;-2.10%
15-Mar-20;0.0246;0.0230;0.0283;0.0184;972.84M;6.99%
08-Mar-20;0.0230;0.0439;0.0439;0.0131;1.11B;-47.63%
01-Mar-20;0.0439;0.0368;0.0492;0.0362;812.87M;19.25%
23-Feb-20;0.0368;0.0509;0.0581;0.0365;794.16M;-27.66%
16-Feb-20;0.0509;0.0573;0.0692;0.0495;1.26B;-11.17%
09-Feb-20;0.0573;0.0562;0.0694;0.0553;1.45B;1.96%
02-Feb-20;0.0562;0.0360;0.0593;0.0360;1.01B;56.20%
26-Jan-20;0.0360;0.0336;0.0368;0.0334;712.11M;7.08%
19-Jan-20;0.0336;0.0373;0.0380;0.0320;683.78M;-9.92%
12-Jan-20;0.0373;0.0314;0.0395;0.0313;907.42M;18.75%
05-Jan-20;0.0314;0.0356;0.0379;0.0312;798.88M;-11.77%
29-Dec-19;0.0356;0.0350;0.0360;0.0299;719.96M;1.73%
22-Dec-19;0.0350;0.0294;0.0372;0.0280;798.89M;19.03%
