Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;1.373;1.463;1.490;1.314;345.75M;-6.14%
03-Apr-22;1.463;1.653;1.713;1.424;412.29M;-11.43%
27-Mar-22;1.652;1.612;1.750;1.563;500.85M;2.49%
20-Mar-22;1.612;1.529;1.663;1.443;422.23M;5.44%
13-Mar-22;1.529;1.396;1.541;1.330;564.39M;9.53%
06-Mar-22;1.396;1.507;1.544;1.372;790.77M;-7.38%
27-Feb-22;1.507;1.514;1.697;1.424;806.56M;-0.46%
20-Feb-22;1.514;1.633;1.634;1.247;1.09B;-7.27%
13-Feb-22;1.633;1.701;1.878;1.562;587.57M;-3.99%
06-Feb-22;1.701;1.712;2.083;1.645;908.46M;-0.72%
30-Jan-22;1.713;1.694;1.757;1.477;572.22M;1.10%
23-Jan-22;1.694;1.536;1.816;1.307;1.20B;10.30%
16-Jan-22;1.536;2.347;2.450;1.402;989.88M;-34.55%
09-Jan-22;2.347;1.985;2.447;1.923;787.33M;18.20%
02-Jan-22;1.985;2.573;2.583;1.904;783.72M;-22.82%
26-Dec-21;2.573;2.640;2.922;2.410;1.02B;-2.55%
19-Dec-21;2.640;2.231;2.733;2.048;1.17B;18.31%
12-Dec-21;2.231;2.133;2.256;1.739;1.33B;4.61%
05-Dec-21;2.133;1.983;2.575;1.714;2.77B;7.55%
28-Nov-21;1.983;1.613;2.393;1.502;1.84B;22.95%
21-Nov-21;1.613;1.663;1.965;1.527;945.56M;-3.02%
14-Nov-21;1.663;1.751;1.775;1.445;639.99M;-5.01%
07-Nov-21;1.751;1.883;1.940;1.546;850.31M;-7.07%
31-Oct-21;1.884;1.866;2.148;1.798;891.17M;1.00%
24-Oct-21;1.865;1.641;2.216;1.526;1.89B;13.66%
17-Oct-21;1.641;1.507;1.674;1.408;925.20M;9.10%
10-Oct-21;1.504;1.352;1.629;1.153;1.95B;11.40%
03-Oct-21;1.350;1.294;1.437;1.203;991.74M;4.34%
26-Sep-21;1.294;1.122;1.355;1.032;760.15M;15.35%
19-Sep-21;1.122;1.366;1.371;1.018;1.20B;-17.87%
12-Sep-21;1.366;1.316;1.496;1.199;1.09B;3.88%
05-Sep-21;1.315;1.740;1.797;1.120;2.10B;-24.42%
29-Aug-21;1.740;1.457;1.741;1.302;1.19B;19.40%
22-Aug-21;1.457;1.583;1.685;1.351;1.14B;-8.02%
15-Aug-21;1.584;1.441;1.700;1.279;1.61B;9.89%
08-Aug-21;1.442;1.167;1.515;1.039;2.11B;23.50%
01-Aug-21;1.167;1.079;1.194;1.006;1.05B;8.24%
25-Jul-21;1.078;0.936;1.134;0.888;1.93B;17.34%
18-Jul-21;0.919;0.801;0.955;0.624;2.53B;14.70%
11-Jul-21;0.801;1.030;1.057;0.783;909.91M;-22.17%
04-Jul-21;1.030;1.133;1.179;1.006;1.02B;-9.12%
27-Jun-21;1.133;1.077;1.248;1.035;1.46B;5.51%
20-Jun-21;1.074;1.360;1.433;0.930;3.11B;-21.04%
13-Jun-21;1.360;1.340;1.706;1.306;2.69B;1.48%
06-Jun-21;1.340;1.528;1.727;1.163;2.68B;-12.29%
30-May-21;1.528;1.692;1.982;1.455;3.92B;-9.74%
23-May-21;1.692;1.191;2.429;0.749;10.16B;42.08%
16-May-21;1.191;1.596;2.658;1.101;7.58B;-25.99%
09-May-21;1.609;0.849;1.884;0.786;5.10B;89.61%
02-May-21;0.849;0.786;0.867;0.709;1.95B;7.96%
25-Apr-21;0.786;0.355;0.945;0.345;7.24B;121.71%
18-Apr-21;0.355;0.402;0.421;0.295;2.24B;-11.84%
11-Apr-21;0.402;0.358;0.467;0.350;1.89B;12.39%
04-Apr-21;0.358;0.352;0.390;0.311;1.24B;1.78%
28-Mar-21;0.352;0.333;0.422;0.329;1.62B;5.69%
21-Mar-21;0.333;0.383;0.400;0.299;1.38B;-13.19%
14-Mar-21;0.383;0.425;0.437;0.347;2.26B;-9.82%
07-Mar-21;0.425;0.213;0.525;0.205;5.86B;99.86%
28-Feb-21;0.213;0.197;0.254;0.173;4.16B;8.17%
21-Feb-21;0.197;0.145;0.231;0.100;6.97B;35.78%
14-Feb-21;0.145;0.112;0.200;0.082;4.66B;29.81%
07-Feb-21;0.112;0.052;0.145;0.048;6.50B;112.77%
31-Jan-21;0.052;0.040;0.056;0.036;3.21B;31.21%
24-Jan-21;0.040;0.034;0.048;0.032;5.53B;17.40%
17-Jan-21;0.034;0.033;0.038;0.026;2.70B;4.00%
10-Jan-21;0.033;0.033;0.036;0.023;3.33B;-2.21%
03-Jan-21;0.033;0.019;0.039;0.019;6.45B;75.82%
27-Dec-20;0.019;0.019;0.020;0.017;1.48B;0.00%
20-Dec-20;0.019;0.020;0.020;0.015;1.34B;-3.20%
13-Dec-20;0.020;0.018;0.021;0.018;1.56B;11.46%
06-Dec-20;0.018;0.020;0.020;0.017;918.86M;-9.34%
29-Nov-20;0.020;0.019;0.021;0.018;1.57B;5.19%
22-Nov-20;0.019;0.020;0.024;0.016;2.65B;-5.88%
15-Nov-20;0.020;0.017;0.020;0.016;1.71B;18.99%
08-Nov-20;0.017;0.014;0.018;0.014;1.66B;16.32%
01-Nov-20;0.014;0.014;0.017;0.012;2.07B;4.58%
25-Oct-20;0.014;0.018;0.018;0.013;1.61B;-22.26%
18-Oct-20;0.018;0.017;0.018;0.015;1.13B;5.67%
11-Oct-20;0.017;0.017;0.018;0.016;888.00M;0.00%
04-Oct-20;0.017;0.018;0.019;0.015;1.24B;-6.94%
27-Sep-20;0.018;0.019;0.020;0.017;1.48B;0.00%
20-Sep-20;0.019;0.021;0.023;0.017;1.74B;-9.70%
13-Sep-20;0.021;0.021;0.022;0.019;1.60B;0.00%
06-Sep-20;0.021;0.018;0.021;0.017;1.49B;16.80%
30-Aug-20;0.018;0.028;0.029;0.017;2.28B;-34.77%
23-Aug-20;0.028;0.026;0.029;0.025;1.75B;5.28%
16-Aug-20;0.026;0.030;0.032;0.024;3.42B;-12.97%
09-Aug-20;0.030;0.023;0.032;0.022;4.11B;31.51%
02-Aug-20;0.023;0.021;0.023;0.020;1.82B;8.40%
26-Jul-20;0.021;0.021;0.021;0.020;1.89B;0.00%
19-Jul-20;0.021;0.021;0.023;0.020;1.82B;-2.57%
12-Jul-20;0.021;0.021;0.024;0.020;2.43B;0.00%
05-Jul-20;0.021;0.020;0.022;0.019;1.82B;9.27%
28-Jun-20;0.020;0.019;0.020;0.018;1.76B;0.00%
21-Jun-20;0.019;0.023;0.023;0.019;2.11B;-14.57%
14-Jun-20;0.023;0.021;0.023;0.019;1.77B;9.65%
07-Jun-20;0.021;0.021;0.022;0.019;2.13B;0.00%
31-May-20;0.021;0.024;0.025;0.020;4.58B;-14.23%
24-May-20;0.024;0.020;0.027;0.019;5.52B;19.96%
17-May-20;0.020;0.020;0.023;0.018;3.67B;0.00%
10-May-20;0.020;0.017;0.022;0.014;5.70B;16.09%
03-May-20;0.017;0.017;0.018;0.016;3.09B;0.00%
26-Apr-20;0.017;0.015;0.017;0.015;2.82B;12.28%
19-Apr-20;0.015;0.013;0.016;0.012;3.15B;12.55%
12-Apr-20;0.013;0.012;0.014;0.011;1.99B;9.49%
05-Apr-20;0.012;0.012;0.014;0.011;4.50B;4.43%
29-Mar-20;0.012;0.011;0.012;0.010;2.30B;10.18%
22-Mar-20;0.011;0.011;0.012;0.010;2.95B;-5.40%
15-Mar-20;0.011;0.010;0.013;0.007;6.44B;14.22%
08-Mar-20;0.010;0.027;0.027;0.007;9.10B;-63.35%
01-Mar-20;0.027;0.020;0.029;0.019;5.01B;33.10%
23-Feb-20;0.020;0.021;0.023;0.017;3.02B;-2.88%
16-Feb-20;0.021;0.021;0.022;0.019;2.61B;0.00%
09-Feb-20;0.021;0.021;0.024;0.020;3.71B;0.00%
02-Feb-20;0.021;0.018;0.025;0.018;5.32B;15.82%
26-Jan-20;0.018;0.016;0.019;0.016;2.15B;14.11%
19-Jan-20;0.016;0.017;0.018;0.015;1.85B;-8.35%
12-Jan-20;0.017;0.015;0.019;0.015;4.37B;18.01%
05-Jan-20;0.015;0.015;0.016;0.014;2.27B;0.00%
29-Dec-19;0.015;0.015;0.016;0.014;2.92B;0.00%
22-Dec-19;0.015;0.018;0.020;0.015;6.08B;-16.99%
15-Dec-19;0.018;0.014;0.018;0.011;7.85B;32.04%
08-Dec-19;0.014;0.039;0.043;0.011;11.30B;-64.88%
01-Dec-19;0.039;0.029;0.042;0.025;4.17B;34.25%
24-Nov-19;0.029;0.017;0.029;0.015;4.77B;73.54%
17-Nov-19;0.017;0.015;0.017;0.012;1.78B;14.79%
10-Nov-19;0.015;0.015;0.016;0.014;1.28B;0.00%
03-Nov-19;0.015;0.014;0.015;0.013;1.79B;9.80%
27-Oct-19;0.014;0.013;0.015;0.013;1.71B;0.00%
20-Oct-19;0.013;0.014;0.015;0.013;2.53B;0.00%
13-Oct-19;0.014;0.016;0.017;0.013;2.37B;-12.17%
06-Oct-19;0.016;0.010;0.017;0.010;3.82B;48.83%
29-Sep-19;0.010;0.011;0.011;0.010;1.24B;-6.88%
22-Sep-19;0.011;0.013;0.013;0.010;1.53B;-16.22%
15-Sep-19;0.013;0.013;0.015;0.013;1.45B;0.00%
08-Sep-19;0.013;0.014;0.015;0.013;1.20B;-5.96%
01-Sep-19;0.014;0.012;0.015;0.011;1.73B;17.28%
25-Aug-19;0.012;0.015;0.015;0.012;1.44B;-20.00%
18-Aug-19;0.015;0.014;0.017;0.014;2.92B;3.95%
11-Aug-19;0.014;0.015;0.019;0.013;4.98B;-4.71%
04-Aug-19;0.015;0.011;0.021;0.010;7.29B;40.01%
28-Jul-19;0.011;0.012;0.012;0.011;993.64M;-11.03%
21-Jul-19;0.012;0.014;0.014;0.011;998.71M;-13.68%
14-Jul-19;0.014;0.017;0.017;0.012;3.32B;-16.30%
07-Jul-19;0.017;0.018;0.018;0.014;3.84B;-5.93%
30-Jun-19;0.018;0.024;0.027;0.017;5.93B;-26.75%
