Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;157.584;175.336;177.503;149.677;123.77M;-10.12%
03-Apr-22;175.336;148.265;196.897;145.729;234.18M;18.27%
27-Mar-22;148.253;127.161;162.726;125.002;87.25M;16.59%
20-Mar-22;127.162;113.006;135.289;105.352;69.41M;12.53%
13-Mar-22;113.006;103.270;115.481;96.831;606.99M;9.34%
06-Mar-22;103.349;105.100;119.440;93.340;984.96M;-1.67%
27-Feb-22;105.100;90.921;119.105;82.991;434.04M;15.63%
20-Feb-22;90.891;100.463;100.773;73.868;73.28M;-9.53%
13-Feb-22;100.463;107.924;117.098;98.517;50.20M;-6.74%
06-Feb-22;107.729;128.185;140.788;104.248;78.81M;-16.10%
30-Jan-22;128.403;110.284;135.663;100.465;88.50M;16.49%
23-Jan-22;110.229;114.094;128.764;95.198;154.46M;-3.39%
16-Jan-22;114.094;192.723;204.410;101.541;130.07M;-40.80%
09-Jan-22;192.723;138.124;204.430;131.221;142.70M;39.53%
02-Jan-22;138.124;151.759;176.357;133.375;129.80M;-8.97%
26-Dec-21;151.733;151.893;163.963;130.460;116.49M;-0.20%
19-Dec-21;152.031;84.149;158.818;82.705;192.47M;80.67%
12-Dec-21;84.149;116.256;193.580;80.869;127.25M;-27.52%
05-Dec-21;116.102;80.021;117.074;66.355;127.15M;44.97%
28-Nov-21;80.089;83.147;95.555;61.899;69.27M;-3.68%
21-Nov-21;83.147;97.979;102.763;78.709;59.79M;-15.14%
14-Nov-21;97.979;111.614;119.718;84.359;75.73M;-12.22%
07-Nov-21;111.614;101.885;126.424;99.995;90.06M;9.56%
31-Oct-21;101.874;104.755;115.003;96.952;67.92M;-2.75%
24-Oct-21;104.755;93.148;132.086;91.400;135.18M;12.46%
17-Oct-21;93.148;78.434;97.625;75.998;73.68M;18.80%
10-Oct-21;78.409;80.329;82.642;67.759;67.58M;-2.39%
03-Oct-21;80.329;78.059;87.356;71.529;97.29M;2.85%
26-Sep-21;78.101;76.208;82.672;63.738;108.66M;2.48%
19-Sep-21;76.210;90.666;104.060;63.531;201.84M;-15.94%
