Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;27.880;30.039;30.268;26.485;148.97M;-7.22%
03-Apr-22;30.051;34.546;35.949;28.705;200.79M;-12.99%
27-Mar-22;34.536;33.971;38.463;32.471;303.47M;1.66%
20-Mar-22;33.972;32.311;35.869;29.976;267.22M;5.18%
13-Mar-22;32.299;27.797;33.495;26.701;814.24M;16.23%
06-Mar-22;27.789;30.075;30.562;27.077;542.61M;-7.65%
27-Feb-22;30.089;30.969;34.281;28.302;574.38M;-2.80%
20-Feb-22;30.957;35.010;35.020;26.326;509.42M;-11.58%
13-Feb-22;35.010;42.116;44.536;34.076;303.31M;-16.87%
06-Feb-22;42.116;43.424;48.614;40.547;370.06M;-3.01%
30-Jan-22;43.425;38.833;44.985;35.016;403.70M;11.83%
23-Jan-22;38.833;30.024;39.080;26.264;522.19M;29.34%
16-Jan-22;30.024;48.421;50.603;25.621;369.54M;-38.00%
09-Jan-22;48.423;46.156;52.102;42.252;332.86M;4.91%
02-Jan-22;46.156;59.678;59.917;44.715;402.80M;-22.66%
26-Dec-21;59.678;66.935;69.583;55.960;440.45M;-10.84%
19-Dec-21;66.935;51.562;67.979;47.253;428.37M;29.63%
12-Dec-21;51.636;50.574;56.094;44.280;460.32M;2.33%
05-Dec-21;50.461;60.764;61.245;47.321;638.19M;-16.96%
