Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;101.704;112.895;115.990;98.289;609.32M;-9.85%
03-Apr-22;112.812;132.400;141.046;108.168;1.02B;-14.78%
27-Mar-22;132.376;101.804;143.488;98.850;1.23B;30.03%
20-Mar-22;101.804;92.396;104.885;86.834;551.34M;10.14%
13-Mar-22;92.435;81.412;94.538;77.774;2.00B;13.55%
06-Mar-22;81.402;89.633;89.894;80.054;2.15B;-9.17%
27-Feb-22;89.623;90.130;106.335;84.190;774.22M;-0.56%
20-Feb-22;90.130;91.264;95.988;75.693;39.03M;-1.24%
13-Feb-22;91.264;95.970;105.606;88.760;20.78M;-4.83%
06-Feb-22;95.891;113.912;121.836;93.254;27.11M;-15.82%
30-Jan-22;113.912;96.029;118.520;89.264;39.90M;18.43%
23-Jan-22;96.186;94.679;104.673;80.919;44.55M;1.61%
16-Jan-22;94.665;147.660;151.918;88.480;26.04M;-35.90%
09-Jan-22;147.677;142.033;157.712;130.147;18.80M;3.97%
02-Jan-22;142.033;179.083;179.496;133.283;19.56M;-20.68%
26-Dec-21;179.068;193.019;204.712;167.773;16.31M;-7.28%
19-Dec-21;193.127;182.822;197.422;168.500;18.27M;5.61%
12-Dec-21;182.861;172.204;189.008;148.384;27.30M;6.48%
05-Dec-21;171.728;201.093;204.309;161.587;26.06M;-14.60%
28-Nov-21;201.088;192.976;243.069;175.186;28.23M;4.16%
21-Nov-21;193.061;217.824;235.389;183.084;24.92M;-11.37%
14-Nov-21;217.833;241.659;246.211;187.176;27.18M;-9.87%
07-Nov-21;241.684;258.480;258.581;217.998;24.78M;-6.50%
31-Oct-21;258.477;195.806;259.861;185.688;33.01M;32.00%
24-Oct-21;195.813;197.765;218.939;178.226;36.74M;-0.99%
17-Oct-21;197.776;157.416;214.972;153.148;47.80M;25.65%
10-Oct-21;157.403;156.778;165.347;137.730;34.11M;0.41%
03-Oct-21;156.755;169.074;177.359;150.266;38.67M;-7.29%
26-Sep-21;169.080;136.075;174.889;124.982;46.03M;24.24%
19-Sep-21;136.086;169.289;170.852;116.135;74.99M;-19.67%
12-Sep-21;169.399;152.549;174.974;134.717;63.04M;-5.02%
05-Sep-21;178.350;139.090;215.511;130.000;-;28.23%
29-Aug-21;139.090;96.720;150.670;90.623;-;43.81%
22-Aug-21;96.720;73.907;97.710;66.350;-;30.87%
15-Aug-21;73.907;44.043;100.000;43.462;-;67.81%
