Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;10.003;10.003;10.008;10.000;901.46M;0.00%
03-Apr-22;10.003;10.003;10.006;0.9998;1.05B;0.00%
27-Mar-22;10.003;10.005;10.006;0.9997;1.49B;-0.02%
20-Mar-22;10.004;10.004;10.006;10.000;1.16B;0.01%
13-Mar-22;10.004;10.001;10.009;10.000;1.01B;0.02%
06-Mar-22;10.002;10.003;10.011;10.001;1.18B;-0.01%
27-Feb-22;10.003;10.007;10.011;10.000;1.26B;-0.04%
20-Feb-22;10.007;10.005;10.030;10.005;1.44B;0.02%
13-Feb-22;10.005;10.006;10.010;10.003;814.26M;-0.01%
06-Feb-22;10.006;10.007;10.011;10.005;903.27M;-0.01%
30-Jan-22;10.007;10.003;10.009;10.003;756.36M;0.03%
23-Jan-22;10.004;10.004;10.011;10.002;1.26B;0.00%
16-Jan-22;10.004;10.003;10.009;10.000;1.13B;0.01%
09-Jan-22;10.003;10.001;10.006;0.9999;987.43M;0.02%
02-Jan-22;10.001;10.002;10.003;0.9997;1.06B;-0.01%
26-Dec-21;10.002;10.006;10.007;0.9996;1.37B;-0.04%
19-Dec-21;10.006;10.005;10.013;10.001;1.09B;0.01%
12-Dec-21;10.005;10.008;10.016;10.001;1.38B;-0.02%
05-Dec-21;10.007;10.012;10.017;10.003;1.59B;-0.05%
28-Nov-21;10.012;10.009;10.021;10.002;1.61B;0.03%
21-Nov-21;10.009;10.008;10.014;0.9998;1.49B;0.00%
14-Nov-21;10.008;10.001;10.013;0.9997;1.93B;0.07%
07-Nov-21;10.001;10.007;10.011;0.9992;2.01B;-0.07%
31-Oct-21;10.007;10.004;10.011;10.000;1.40B;0.03%
24-Oct-21;10.004;10.000;10.009;0.9996;1.68B;0.04%
17-Oct-21;10.000;10.000;10.006;0.9994;1.83B;0.00%
10-Oct-21;10.000;10.003;10.005;0.9996;1.21B;-0.03%
03-Oct-21;10.003;10.004;10.006;10.000;1.19B;-0.01%
26-Sep-21;10.004;10.013;10.024;0.9998;1.15B;-0.09%
19-Sep-21;10.013;10.002;10.018;0.9999;1.62B;0.10%
12-Sep-21;10.002;10.003;10.007;10.000;1.15B;0.00%
05-Sep-21;10.003;10.003;10.011;10.000;1.79B;-0.01%
29-Aug-21;10.003;10.006;10.009;10.001;1.29B;-0.03%
22-Aug-21;10.006;10.006;10.008;0.9999;1.42B;0.00%
15-Aug-21;10.006;10.005;10.009;0.9999;1.52B;0.01%
08-Aug-21;10.005;10.002;10.008;0.9995;2.28B;0.04%
01-Aug-21;10.002;0.9997;10.009;0.9996;1.56B;0.00%
25-Jul-21;10.002;10.013;10.014;0.9999;1.06B;-0.07%
18-Jul-21;10.009;10.007;10.013;0.9993;1.47B;0.02%
11-Jul-21;10.007;0.9999;10.015;0.9995;958.56M;0.09%
04-Jul-21;0.9999;10.003;10.008;0.9987;2.12B;-0.04%
27-Jun-21;10.003;10.012;10.041;0.9998;1.58B;-0.09%
20-Jun-21;10.012;10.013;10.035;0.9978;3.35B;0.00%
13-Jun-21;10.013;10.003;10.017;0.9994;1.26B;0.09%
06-Jun-21;10.003;10.005;10.015;0.9989;1.51B;-0.01%
30-May-21;10.005;10.000;10.008;0.9980;1.67B;0.05%
23-May-21;10.000;10.021;10.045;0.9995;2.50B;-0.22%
16-May-21;10.021;10.010;10.057;0.9986;4.10B;0.11%
09-May-21;10.010;10.009;10.030;0.9992;2.95B;0.01%
02-May-21;10.009;10.004;10.017;0.9997;2.12B;0.07%
25-Apr-21;10.002;10.023;10.025;0.9985;1.53B;-0.15%
18-Apr-21;10.018;0.9994;10.033;0.9975;2.75B;0.17%
11-Apr-21;10.001;10.002;10.018;0.9981;2.12B;0.00%
04-Apr-21;10.001;0.9996;10.008;0.9952;1.48B;0.05%
28-Mar-21;0.9996;10.004;10.018;0.9991;1.38B;-0.08%
21-Mar-21;10.004;0.9997;10.012;0.9986;1.45B;0.07%
14-Mar-21;0.9997;10.000;10.021;0.9984;1.40B;-0.02%
07-Mar-21;0.9999;10.002;10.019;0.9994;1.11B;-0.02%
28-Feb-21;10.002;10.013;10.030;0.9989;1.22B;-0.11%
21-Feb-21;10.013;0.9993;10.017;0.9957;2.00B;0.15%
14-Feb-21;0.9997;10.006;10.019;0.9991;1.16B;-0.08%
07-Feb-21;10.005;10.009;10.039;0.9994;1.51B;-0.05%
31-Jan-21;10.010;10.013;10.034;0.9992;1.13B;-0.03%
24-Jan-21;10.013;10.004;10.045;0.9992;1.50B;0.09%
17-Jan-21;10.004;10.003;10.041;0.9979;1.24B;0.01%
10-Jan-21;10.003;10.028;10.036;0.9979;1.48B;-0.24%
03-Jan-21;10.027;0.9998;10.030;0.9969;1.63B;0.24%
27-Dec-20;10.003;0.9983;10.020;0.9954;858.77M;0.20%
20-Dec-20;0.9983;10.002;10.011;0.9979;849.18M;-0.19%
13-Dec-20;10.002;10.005;10.022;0.9961;751.68M;-0.03%
06-Dec-20;10.005;10.006;10.036;0.9995;593.64M;-0.01%
29-Nov-20;10.006;10.010;10.028;0.9994;610.00M;-0.04%
22-Nov-20;10.010;0.9994;10.036;0.9985;744.19M;0.26%
15-Nov-20;0.9984;10.002;10.333;0.9983;469.79M;-0.18%
08-Nov-20;10.002;10.016;10.022;0.9984;335.53M;-0.14%
01-Nov-20;10.016;10.001;10.024;0.9980;343.71M;0.15%
25-Oct-20;10.001;10.009;10.014;0.9998;214.58M;-0.08%
18-Oct-20;10.009;10.009;10.022;10.004;214.63M;0.00%
11-Oct-20;10.009;10.011;10.021;10.005;209.53M;-0.02%
04-Oct-20;10.011;10.013;10.023;10.000;236.92M;-0.03%
27-Sep-20;10.013;10.019;10.030;10.003;223.50M;-0.04%
20-Sep-20;10.017;10.012;10.027;10.002;217.77M;0.05%
13-Sep-20;10.012;10.013;10.023;10.003;205.92M;0.02%
06-Sep-20;10.010;10.019;10.030;10.006;207.53M;-0.09%
30-Aug-20;10.019;10.011;10.030;10.006;258.98M;0.08%
23-Aug-20;10.011;10.008;10.021;10.002;219.38M;0.02%
16-Aug-20;10.008;10.012;10.031;10.000;223.40M;-0.04%
09-Aug-20;10.012;10.001;10.025;0.9991;189.37M;0.11%
02-Aug-20;10.001;10.004;10.017;0.9985;179.84M;-0.03%
26-Jul-20;10.005;10.012;10.031;0.9993;194.41M;-0.07%
19-Jul-20;10.012;10.015;10.027;10.009;163.48M;0.01%
12-Jul-20;10.011;10.011;10.016;0.9997;90.12M;0.00%
05-Jul-20;10.011;10.010;10.018;10.003;104.61M;0.01%
28-Jun-20;10.010;0.9997;10.016;0.9994;72.11M;0.13%
21-Jun-20;0.9997;10.013;10.015;0.9995;71.27M;-0.09%
14-Jun-20;10.007;10.001;10.014;0.9992;58.01M;0.05%
07-Jun-20;10.001;0.9999;10.012;0.9983;61.42M;0.02%
31-May-20;0.9999;0.9995;10.028;0.9989;79.59M;0.01%
24-May-20;0.9998;10.003;10.019;0.9992;55.31M;-0.05%
17-May-20;10.003;0.9999;10.006;0.9992;93.79M;0.03%
10-May-20;0.9999;10.003;10.024;0.9988;95.16M;-0.02%
03-May-20;10.002;10.007;10.015;0.9999;80.24M;-0.09%
26-Apr-20;10.010;10.011;10.020;0.9986;84.59M;-0.01%
19-Apr-20;10.011;10.020;10.056;10.005;54.06M;-0.08%
12-Apr-20;10.020;10.027;10.063;10.017;49.12M;-0.07%
