Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;0.77020;0.76220;0.79880;0.68415;3.95B;1.05%
03-Apr-22;0.76221;0.82392;0.84980;0.74696;2.80B;-7.46%
27-Mar-22;0.82369;0.83286;0.91125;0.79820;3.60B;-1.10%
20-Mar-22;0.83286;0.81958;0.86489;0.78882;3.21B;1.61%
13-Mar-22;0.81970;0.78591;0.82648;0.74218;3.13B;4.31%
06-Mar-22;0.78585;0.75387;0.84877;0.70410;4.91B;4.24%
27-Feb-22;0.75391;0.75044;0.80324;0.69756;5.00B;0.46%
20-Feb-22;0.75044;0.82174;0.82272;0.62253;8.04B;-8.66%
13-Feb-22;0.82160;0.82203;0.85886;0.75487;4.75B;-0.01%
06-Feb-22;0.82171;0.66618;0.91257;0.66050;7.38B;23.35%
30-Jan-22;0.66617;0.61748;0.68613;0.58100;2.98B;7.90%
23-Jan-22;0.61740;0.59679;0.65753;0.55498;4.70B;3.46%
16-Jan-22;0.59674;0.77921;0.78416;0.55200;4.06B;-23.43%
09-Jan-22;0.77934;0.74478;0.80681;0.70058;3.16B;4.65%
02-Jan-22;0.74471;0.85003;0.86380;0.71549;3.60B;-12.39%
26-Dec-21;0.85001;0.92522;0.95497;0.80292;3.36B;-8.13%
19-Dec-21;0.92525;0.82643;101.612;0.81969;6.03B;11.96%
12-Dec-21;0.82643;0.83767;0.85633;0.76124;4.08B;-1.29%
05-Dec-21;0.83722;0.84530;0.93300;0.75038;6.58B;-1.15%
28-Nov-21;0.84697;0.94528;102.975;0.62065;3.99B;-10.42%
21-Nov-21;0.94547;109.615;109.715;0.92297;5.35B;-13.75%
14-Nov-21;109.614;118.937;121.934;101.839;5.55B;-7.84%
07-Nov-21;118.937;115.138;134.634;113.594;4.98B;3.32%
31-Oct-21;115.120;108.409;125.508;107.002;4.64B;6.19%
24-Oct-21;108.406;109.354;115.926;0.95469;4.39B;-0.87%
17-Oct-21;109.354;113.400;116.343;102.483;3.40B;-3.57%
10-Oct-21;113.400;116.036;122.162;106.589;4.85B;-2.19%
03-Oct-21;115.945;103.620;120.814;100.670;3.89B;11.89%
26-Sep-21;103.620;0.94014;106.994;0.88656;4.40B;10.22%
19-Sep-21;0.94014;107.556;108.348;0.85900;5.76B;-12.59%
12-Sep-21;107.557;107.884;112.973;102.673;3.38B;-0.30%
05-Sep-21;107.882;125.486;141.516;0.96170;8.13B;-14.03%
29-Aug-21;125.482;114.489;132.231;109.152;4.98B;9.60%
22-Aug-21;114.492;121.654;130.288;105.214;5.58B;-5.89%
15-Aug-21;121.663;128.017;134.807;105.220;8.18B;-4.96%
08-Aug-21;128.015;0.81666;130.885;0.76058;7.33B;56.75%
01-Aug-21;0.81666;0.74443;0.81814;0.69730;3.54B;9.72%
25-Jul-21;0.74434;0.60496;0.76911;0.59105;6.06B;22.70%
18-Jul-21;0.60665;0.58167;0.61383;0.51755;3.60B;4.30%
11-Jul-21;0.58164;0.62470;0.65701;0.56785;2.98B;-6.95%
04-Jul-21;0.62511;0.67644;0.70881;0.59340;3.55B;-7.59%
27-Jun-21;0.67644;0.61669;0.72851;0.59735;4.90B;9.70%
20-Jun-21;0.61663;0.75965;0.78412;0.51017;9.64B;-18.84%
13-Jun-21;0.75977;0.83164;0.92692;0.75589;4.03B;-8.60%
06-Jun-21;0.83121;0.92274;0.97376;0.78577;6.02B;-9.92%
30-May-21;0.92274;0.83044;109.730;0.79877;8.92B;11.12%
23-May-21;0.83041;0.90502;106.643;0.65070;14.51B;-8.24%
16-May-21;0.90502;148.591;169.982;0.82006;20.80B;-39.09%
09-May-21;148.591;156.235;162.613;120.537;10.37B;-4.89%
02-May-21;156.237;165.073;176.001;135.493;11.36B;-5.35%
25-Apr-21;165.073;105.015;166.456;0.95088;14.78B;57.19%
18-Apr-21;105.015;153.957;156.266;0.89374;21.43B;-31.84%
11-Apr-21;154.064;137.428;196.332;130.840;20.15B;12.10%
04-Apr-21;137.431;0.57886;139.530;0.56884;21.78B;137.42%
28-Mar-21;0.57886;0.54789;0.64142;0.53095;7.23B;5.65%
21-Mar-21;0.54789;0.52460;0.59954;0.45393;11.54B;4.47%
14-Mar-21;0.52446;0.45768;0.54965;0.42346;6.50B;14.59%
07-Mar-21;0.45770;0.46296;0.48804;0.42505;5.71B;-1.14%
28-Feb-21;0.46296;0.43578;0.49380;0.39340;7.80B;6.25%
21-Feb-21;0.43574;0.51200;0.64615;0.36720;16.31B;-14.89%
14-Feb-21;0.51200;0.63352;0.63792;0.47520;11.18B;-19.12%
07-Feb-21;0.63303;0.44275;0.64209;0.39789;15.68B;42.98%
31-Jan-21;0.44274;0.44329;0.75358;0.34132;34.45B;-0.07%
24-Jan-21;0.44304;0.27163;0.50882;0.24441;9.93B;63.09%
17-Jan-21;0.27166;0.27923;0.32793;0.24165;9.69B;-2.81%
10-Jan-21;0.27951;0.32433;0.36658;0.25579;15.00B;-13.82%
03-Jan-21;0.32432;0.22087;0.36878;0.21542;26.32B;46.77%
27-Dec-20;0.22097;0.29463;0.30993;0.17428;26.67B;-24.99%
20-Dec-20;0.29461;0.57665;0.58642;0.21523;32.11B;-48.90%
13-Dec-20;0.57659;0.50589;0.65864;0.43985;13.12B;13.97%
06-Dec-20;0.50589;0.58546;0.62717;0.48577;9.95B;-13.57%
29-Nov-20;0.58532;0.62578;0.67952;0.54400;10.85B;-6.49%
22-Nov-20;0.62597;0.46288;0.77883;0.41077;25.23B;35.07%
15-Nov-20;0.46343;0.26813;0.46804;0.26412;8.95B;72.87%
08-Nov-20;0.26808;0.24898;0.27710;0.24562;6.44B;7.67%
01-Nov-20;0.24897;0.23971;0.26725;0.22803;7.11B;3.86%
25-Oct-20;0.23972;0.25611;0.25904;0.23138;6.60B;-6.40%
18-Oct-20;0.25611;0.24057;0.26354;0.24007;6.97B;6.45%
11-Oct-20;0.24059;0.25391;0.25997;0.23772;8.31B;-5.25%
04-Oct-20;0.25392;0.23265;0.26010;0.23152;8.54B;9.10%
27-Sep-20;0.23273;0.24151;0.24838;0.22849;8.50B;-3.66%
20-Sep-20;0.24157;0.25082;0.25131;0.21955;6.11B;-3.80%
13-Sep-20;0.25111;0.24741;0.25821;0.23431;7.51B;1.47%
06-Sep-20;0.24748;0.23737;0.24873;0.22977;10.98B;4.26%
30-Aug-20;0.23736;0.27384;0.30373;0.23152;12.14B;-13.32%
23-Aug-20;0.27384;0.28609;0.29193;0.25489;8.23B;-4.29%
16-Aug-20;0.28611;0.29882;0.32667;0.27353;12.98B;-4.27%
09-Aug-20;0.29886;0.29526;0.30713;0.27077;13.83B;1.22%
02-Aug-20;0.29525;0.29101;0.32523;0.25562;19.02B;1.46%
26-Jul-20;0.29100;0.24096;0.29743;0.23742;13.59B;35.58%
19-Jul-20;0.21463;0.19988;0.21741;0.19286;7.27B;7.38%
12-Jul-20;0.19989;0.20114;0.20645;0.18907;6.77B;-0.63%
05-Jul-20;0.20115;0.17808;0.21161;0.17401;10.19B;12.95%
28-Jun-20;0.17808;0.17514;0.17960;0.17240;5.69B;1.68%
21-Jun-20;0.17514;0.18793;0.19042;0.16947;6.59B;-6.81%
14-Jun-20;0.18793;0.19241;0.19852;0.18240;6.62B;-2.33%
07-Jun-20;0.19241;0.20370;0.20499;0.18544;6.79B;-5.54%
31-May-20;0.20370;0.20703;0.21452;0.19826;10.33B;-1.61%
24-May-20;0.20703;0.19883;0.20754;0.19047;8.54B;4.13%
17-May-20;0.19883;0.19981;0.20779;0.19013;9.63B;-0.49%
10-May-20;0.19981;0.21648;0.21649;0.18239;17.74B;-7.70%
03-May-20;0.21647;0.22371;0.22647;0.20729;17.91B;-3.24%
26-Apr-20;0.22371;0.19419;0.23550;0.19275;20.56B;15.20%
19-Apr-20;0.19420;0.19529;0.19856;0.17885;17.78B;-0.57%
12-Apr-20;0.19532;0.18843;0.19669;0.17432;18.85B;3.67%
05-Apr-20;0.18841;0.18122;0.20497;0.17691;20.62B;3.97%
29-Mar-20;0.18122;0.17547;0.18587;0.16217;23.53B;3.28%
22-Mar-20;0.17545;0.15789;0.18709;0.14544;27.74B;11.13%
15-Mar-20;0.15788;0.14596;0.17453;0.12872;38.41B;8.17%
08-Mar-20;0.14596;0.23622;0.23622;0.10570;50.78B;-38.21%
01-Mar-20;0.23624;0.22901;0.24616;0.22445;14.84B;3.15%
23-Feb-20;0.22902;0.27492;0.28430;0.22313;19.39B;-16.69%
16-Feb-20;0.27492;0.30754;0.31879;0.26279;23.14B;-10.61%
09-Feb-20;0.30754;0.27763;0.34553;0.26764;24.00B;10.77%
02-Feb-20;0.27763;0.24132;0.28804;0.24132;17.97B;15.05%
26-Jan-20;0.24132;0.21960;0.24594;0.21823;12.26B;9.89%
19-Jan-20;0.21960;0.24349;0.25122;0.21401;11.91B;-9.82%
12-Jan-20;0.24350;0.21127;0.32324;0.20971;17.51B;15.20%
05-Jan-20;0.21138;0.19313;0.22505;0.19289;15.53B;9.46%
29-Dec-19;0.19311;0.19310;0.19827;0.18464;10.52B;0.01%
22-Dec-19;0.19309;0.19146;0.19820;0.18539;10.68B;0.85%
15-Dec-19;0.19146;0.21630;0.21914;0.17553;15.38B;-11.49%
08-Dec-19;0.21631;0.22708;0.23180;0.21512;9.03B;-4.74%
01-Dec-19;0.22708;0.22548;0.22793;0.20992;10.81B;0.71%
24-Nov-19;0.22548;0.23401;0.23455;0.20268;11.84B;-3.64%
17-Nov-19;0.23400;0.26219;0.26591;0.22215;12.26B;-10.75%
10-Nov-19;0.26219;0.27987;0.28370;0.25399;10.64B;-6.31%
03-Nov-19;0.27987;0.29469;0.31422;0.27188;13.74B;-5.03%
27-Oct-19;0.29469;0.29374;0.30907;0.28541;13.63B;0.32%
20-Oct-19;0.29375;0.29133;0.31200;0.25165;14.87B;0.83%
13-Oct-19;0.29133;0.27236;0.30302;0.27164;13.71B;6.96%
06-Oct-19;0.27236;0.25324;0.28633;0.25096;11.71B;7.58%
29-Sep-19;0.25318;0.24185;0.26132;0.23478;8.79B;4.68%
22-Sep-19;0.24186;0.28968;0.28983;0.22523;12.61B;-16.51%
15-Sep-19;0.28968;0.26131;0.32571;0.25715;12.05B;10.87%
08-Sep-19;0.26128;0.25999;0.26573;0.25098;6.39B;0.50%
01-Sep-19;0.25999;0.25759;0.26605;0.24801;6.65B;0.93%
