Date,Price,Open,High,Low,Vol.,Change %
10-Apr-22,0.9533,10.451,10.694,0.9176,926.54M,-8.79%
03-Apr-22,10.451,11.552,12.434,10.191,1.42B,-9.52%
27-Mar-22,11.551,11.528,12.438,11.052,1.91B,0.19%
20-Mar-22,11.529,0.9031,11.882,0.8631,2.47B,27.66%
13-Mar-22,0.9031,0.7898,0.9148,0.7786,975.06M,14.35%
06-Mar-22,0.7898,0.8642,0.8709,0.7782,1.04B,-8.61%
27-Feb-22,0.8642,0.8859,10.076,0.8204,1.77B,-2.45%
20-Feb-22,0.8859,0.9961,0.9978,0.7478,2.74B,-11.07%
13-Feb-22,0.9961,10.58,11.146,0.9742,1.30B,-5.85%
06-Feb-22,10.58,11.249,12.613,10.3,1.85B,-5.95%
30-Jan-22,11.249,10.595,11.75,10.088,1.26B,6.17%
23-Jan-22,10.596,10.708,11.689,0.9522,2.64B,-1.05%
16-Jan-22,10.708,12.921,16.349,0.9235,3.83B,-17.13%
09-Jan-22,12.922,11.812,13.527,10.727,1.56B,9.40%
02-Jan-22,11.812,13.789,13.9,11.293,1.46B,-14.34%
26-Dec-21,13.789,14.529,15.912,12.819,1.56B,-5.09%
19-Dec-21,14.529,12.423,14.899,12.02,1.60B,16.95%
12-Dec-21,12.423,13.515,14.136,11.848,1.88B,-8.05%
05-Dec-21,13.512,14.228,14.779,11.922,2.89B,-5.06%
28-Nov-21,14.232,15.435,17.565,11.972,2.74B,-7.78%
21-Nov-21,15.434,19.206,19.239,14.98,2.60B,-19.64%
14-Nov-21,19.205,20.505,20.928,17.038,1.96B,-6.34%
07-Nov-21,20.505,20.048,23.746,19.428,3.12B,2.29%
31-Oct-21,20.045,19.547,21.429,19.159,2.00B,2.55%
24-Oct-21,19.547,21.655,22.006,18.102,2.31B,-9.70%
17-Oct-21,21.646,21.765,22.969,20.919,1.77B,-0.54%
10-Oct-21,21.765,22.679,22.767,20.729,1.87B,-3.93%
03-Oct-21,22.656,22.487,23.712,21.125,1.47B,0.75%
26-Sep-21,22.488,22.985,23.207,20.22,2.22B,-2.17%
19-Sep-21,22.985,23.719,24.553,19.132,3.25B,-3.09%
12-Sep-21,23.719,26.352,27.866,23.112,3.21B,-10.00%
05-Sep-21,26.354,28.302,29.552,20.316,3.85B,-6.88%
29-Aug-21,28.302,28.464,30.989,27.068,2.77B,-0.58%
22-Aug-21,28.467,24.36,29.701,24.337,4.18B,16.86%
15-Aug-21,24.36,21.888,25.794,18.787,4.70B,11.29%
08-Aug-21,21.889,14.735,22.51,13.947,4.11B,48.49%
01-Aug-21,14.741,13.178,14.846,12.626,1.69B,11.97%
25-Jul-21,13.166,12.16,13.974,11.912,2.21B,8.36%
18-Jul-21,12.15,11.713,12.237,10.211,1.90B,3.74%
11-Jul-21,11.713,13.353,13.731,11.507,1.35B,-12.31%
04-Jul-21,13.357,14.209,14.943,12.903,1.76B,-6.00%
27-Jun-21,14.209,12.517,14.407,12.413,2.88B,13.52%
20-Jun-21,12.517,13.856,13.856,10.01,4.09B,-9.66%
13-Jun-21,13.855,14.773,16.104,13.756,2.95B,-6.20%
06-Jun-21,14.772,16.58,17.409,13.578,3.06B,-10.91%
30-May-21,16.581,14.015,18.882,13.517,4.87B,18.31%
23-May-21,14.014,14.63,18.28,10.526,8.11B,-4.22%
16-May-21,14.631,21.721,24.601,10.231,11.61B,-32.64%
09-May-21,21.72,16.207,23.727,15.004,7.32B,34.02%
02-May-21,16.207,12.793,17.45,12.757,5.89B,19.89%
25-Apr-21,13.518,11.027,14.103,10.204,4.10B,22.66%
18-Apr-21,11.021,13.708,13.813,0.9438,7.72B,-19.60%
11-Apr-21,13.709,12.179,15.566,11.999,5.92B,12.56%
04-Apr-21,12.179,11.633,13.37,11.534,3.66B,4.70%
28-Mar-21,11.633,11.767,12.438,11.565,2.97B,-1.15%
21-Mar-21,11.768,12.005,12.856,10.401,4.99B,-1.97%
14-Mar-21,12.004,11.013,14.719,10.011,9.12B,9.00%
07-Mar-21,11.013,11.294,12.184,0.9881,4.26B,-2.45%
28-Feb-21,11.29,13.166,13.585,10.379,9.52B,-14.25%
21-Feb-21,13.166,11.156,14.841,0.8115,12.64B,17.96%
14-Feb-21,11.161,0.9124,11.971,0.6891,6.04B,22.50%
07-Feb-21,0.9111,0.6339,0.9791,0.5858,12.17B,43.74%
31-Jan-21,0.6339,0.3636,0.6658,0.3334,8.06B,74.32%
24-Jan-21,0.3636,0.3457,0.3755,0.3046,5.89B,5.23%
17-Jan-21,0.3456,0.3505,0.3971,0.281,9.69B,-1.62%
10-Jan-21,0.3512,0.3302,0.3667,0.2303,9.15B,6.38%
03-Jan-21,0.3302,0.1773,0.3535,0.1729,15.71B,86.18%
27-Dec-20,0.1773,0.1583,0.1966,0.1496,8.03B,12.01%
20-Dec-20,0.1583,0.1643,0.1689,0.1264,6.27B,-3.64%
13-Dec-20,0.1643,0.1443,0.176,0.143,4.55B,13.89%
06-Dec-20,0.1443,0.1599,0.1626,0.13,3.95B,-9.80%
29-Nov-20,0.1599,0.1649,0.1743,0.1438,7.60B,-3.03%
22-Nov-20,0.1649,0.1693,0.1826,0.1207,13.49B,23.51%
15-Nov-20,0.1335,0.1041,0.1346,0.0986,4.08B,28.34%
08-Nov-20,0.1041,0.1013,0.1091,0.1,3.19B,2.73%
01-Nov-20,0.1013,0.093,0.1137,0.0882,3.59B,8.94%
25-Oct-20,0.093,0.108,0.1087,0.0897,3.31B,-13.90%
18-Oct-20,0.108,0.1059,0.1127,0.1009,3.21B,1.90%
11-Oct-20,0.106,0.105,0.1142,0.1023,3.94B,0.97%
04-Oct-20,0.105,0.0933,0.1111,0.0895,3.67B,12.53%
27-Sep-20,0.0933,0.0955,0.1066,0.0899,4.85B,-2.29%
20-Sep-20,0.0955,0.0914,0.0997,0.0756,5.25B,4.42%
13-Sep-20,0.0914,0.0977,0.0997,0.0897,3.42B,-6.39%
06-Sep-20,0.0977,0.09,0.0994,0.0856,4.07B,8.55%
30-Aug-20,0.09,0.1162,0.128,0.0862,6.00B,-22.62%
23-Aug-20,0.1163,0.1253,0.1269,0.1022,3.94B,-7.19%
16-Aug-20,0.1253,0.1384,0.1447,0.1184,3.79B,-9.50%
09-Aug-20,0.1384,0.1468,0.1522,0.1243,3.99B,-5.70%
02-Aug-20,0.1468,0.1442,0.1482,0.1267,3.95B,1.82%
26-Jul-20,0.1442,0.1435,0.1542,0.1304,6.64B,0.44%
19-Jul-20,0.1435,0.1227,0.1456,0.1161,2.87B,17.00%
12-Jul-20,0.1227,0.1252,0.1357,0.1183,6.52B,-2.02%
05-Jul-20,0.1252,0.1,0.1382,0.0943,10.88B,25.19%
28-Jun-20,0.1,0.0774,0.1019,0.0763,6.90B,29.22%
21-Jun-20,0.0774,0.0795,0.0871,0.0749,3.34B,-2.69%
14-Jun-20,0.0795,0.079,0.0845,0.0695,4.62B,0.61%
07-Jun-20,0.079,0.0862,0.0886,0.0742,4.86B,-8.28%
31-May-20,0.0862,0.0769,0.0902,0.0717,12.09B,12.10%
24-May-20,0.0769,0.0549,0.0774,0.0511,4.72B,40.02%
17-May-20,0.0549,0.051,0.0576,0.0504,3.80B,7.59%
10-May-20,0.051,0.0515,0.0522,0.0427,4.69B,-0.91%
03-May-20,0.0515,0.0509,0.0537,0.0461,3.76B,1.15%
26-Apr-20,0.0509,0.0422,0.0543,0.0419,5.30B,20.54%
19-Apr-20,0.0422,0.0365,0.0439,0.0338,3.76B,15.62%
12-Apr-20,0.0365,0.0335,0.037,0.0309,2.13B,9.21%
05-Apr-20,0.0334,0.0325,0.0369,0.0316,3.11B,3.04%
29-Mar-20,0.0325,0.0297,0.0335,0.028,2.76B,9.13%
22-Mar-20,0.0297,0.0294,0.0314,0.0266,3.48B,1.02%
15-Mar-20,0.0294,0.0258,0.0338,0.0217,6.11B,14.29%
08-Mar-20,0.0258,0.0488,0.0488,0.0178,9.50B,-47.18%
01-Mar-20,0.0488,0.0471,0.0523,0.0451,2.57B,3.51%
