"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","23.9913","27.2603","27.4184","23.3375","27.38M","-11.99%"
"Apr 03, 2022","27.2607","31.2863","33.2553","26.3123","53.13M","-12.87%"
"Mar 27, 2022","31.2863","28.8025","32.5494","27.7262","49.62M","8.60%"
"Mar 20, 2022","28.8087","28.6499","29.9735","27.2467","35.43M","0.55%"
"Mar 13, 2022","28.6500","27.2100","29.4101","25.7895","551.38M","5.29%"
"Mar 06, 2022","27.2100","30.9091","31.2901","26.9899","752.69M","-11.97%"
"Feb 27, 2022","30.9089","29.8062","34.6366","26.3302","470.75M","3.72%"
"Feb 20, 2022","29.8003","26.6687","30.3085","21.5770","50.89M","11.74%"
"Feb 13, 2022","26.6699","27.0382","30.8252","25.4100","41.35M","-1.36%"
"Feb 06, 2022","27.0367","30.7198","33.1626","26.0274","46.28M","-11.99%"
"Jan 30, 2022","30.7198","29.0652","32.2506","25.5389","60.98M","5.72%"
"Jan 23, 2022","29.0575","29.2840","37.1349","27.7270","122.35M","-0.84%"
"Jan 16, 2022","29.3029","39.1319","44.4923","27.3679","101.66M","-25.13%"
"Jan 09, 2022","39.1362","35.8595","42.3093","32.9540","88.21M","9.16%"
"Jan 02, 2022","35.8526","36.2823","44.6500","34.0965","132.37M","-1.11%"
"Dec 26, 2021","36.2565","29.6794","36.9798","25.2045","65.49M","22.22%"
"Dec 19, 2021","29.6652","23.1449","29.7057","20.7330","43.60M","27.97%"
