"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","77.11","84.55","85.65","72.74","13.03M","-8.80%"
"Apr 03, 2022","84.55","96.18","100.06","81.47","22.38M","-12.09%"
"Mar 27, 2022","96.18","85.95","103.58","84.42","24.66M","11.88%"
"Mar 20, 2022","85.96","89.56","92.38","82.28","22.12M","-4.02%"
"Mar 13, 2022","89.56","70.92","92.27","65.57","1.49B","26.21%"
"Mar 06, 2022","70.96","76.65","80.39","70.45","1.45B","-7.42%"
"Feb 27, 2022","76.65","81.71","90.75","71.86","605.76M","-6.18%"
"Feb 20, 2022","81.70","85.05","85.68","64.51","29.33M","-3.94%"
"Feb 13, 2022","85.05","81.29","98.59","76.22","16.94M","4.84%"
"Feb 06, 2022","81.12","77.01","95.00","74.26","19.60M","5.16%"
"Jan 30, 2022","77.14","71.80","80.84","64.29","15.49M","7.44%"
"Jan 23, 2022","71.80","59.85","73.47","55.20","20.65M","19.97%"
"Jan 16, 2022","59.85","93.07","94.87","53.19","13.83M","-35.69%"
"Jan 09, 2022","93.07","83.90","97.20","80.47","13.16M","10.93%"
"Jan 02, 2022","83.90","114.22","117.41","79.42","14.83M","-26.55%"
"Dec 26, 2021","114.23","114.99","120.83","98.43","16.86M","-0.66%"
"Dec 19, 2021","114.99","115.84","127.19","101.03","21.94M","-0.74%"
"Dec 12, 2021","115.84","86.48","117.25","75.69","34.81M","34.34%"
"Dec 05, 2021","86.23","93.17","96.55","77.07","25.45M","-7.45%"
"Nov 28, 2021","93.17","113.35","127.24","76.66","24.54M","-17.81%"
"Nov 21, 2021","113.36","125.75","146.29","101.60","41.16M","-9.85%"
"Nov 14, 2021","125.75","97.42","129.86","83.51","37.83M","29.08%"
"Nov 07, 2021","97.41","78.70","98.45","78.07","28.72M","23.90%"
"Oct 31, 2021","78.63","62.24","81.01","60.15","21.74M","26.33%"
"Oct 24, 2021","62.24","65.35","72.93","57.15","20.36M","-4.75%"
"Oct 17, 2021","65.35","57.54","69.10","53.42","25.70M","13.57%"
"Oct 10, 2021","57.54","60.65","62.04","51.17","24.76M","-5.13%"
"Oct 03, 2021","60.65","69.08","71.58","57.39","34.68M","-12.42%"
"Sep 26, 2021","69.25","68.28","73.41","61.21","47.30M","1.42%"
"Sep 19, 2021","68.28","68.90","79.55","52.76","98.84M","-0.90%"
"Sep 12, 2021","68.90","57.00","75.36","48.28","79.04M","20.52%"
"Sep 05, 2021","57.17","47.20","58.97","32.33","-","21.25%"
"Aug 29, 2021","47.15","50.24","52.38","38.32","-","-5.93%"
"Aug 22, 2021","50.12","43.70","58.84","40.31","-","14.42%"
"Aug 15, 2021","43.80","18.09","50.17","17.13","-","142.27%"
"Aug 08, 2021","18.08","15.85","18.41","14.45","-","14.24%"
"Aug 01, 2021","15.83","13.54","15.93","12.34","-","17.18%"
"Jul 25, 2021","13.51","11.01","13.61","10.77","-","20.91%"
"Jul 18, 2021","11.17","10.94","11.36","9.33","-","1.94%"
"Jul 11, 2021","10.96","12.02","12.84","10.72","-","-8.87%"
"Jul 04, 2021","12.02","11.90","14.19","11.66","-","3.80%"
"Jun 27, 2021","11.58","10.33","12.21","10.18","-","12.47%"
"Jun 20, 2021","10.30","13.40","13.87","9.94","-","-23.00%"
"Jun 13, 2021","13.38","13.55","15.27","13.26","-","-0.84%"
"Jun 06, 2021","13.49","17.19","17.89","12.77","-","-21.75%"
"May 30, 2021","17.24","16.19","20.35","15.33","-","6.69%"
"May 23, 2021","16.16","18.80","21.16","13.06","-","-14.06%"
"May 16, 2021","18.80","34.54","38.33","18.78","-","-45.46%"
"May 09, 2021","34.47","38.40","41.29","32.21","-","-9.99%"
"May 02, 2021","38.30","31.92","42.01","30.95","-","20.39%"
"Apr 25, 2021","31.81","21.89","35.19","20.94","-","45.74%"
"Apr 18, 2021","21.83","33.96","33.96","20.84","-","-35.78%"
"Apr 11, 2021","33.99","31.93","39.67","31.14","-","6.95%"
"Apr 04, 2021","31.78","27.97","33.92","27.97","-","12.75%"
"Mar 28, 2021","28.18","27.80","32.34","27.31","-","2.01%"
"Mar 21, 2021","27.63","34.10","35.43","25.25","-","-19.22%"
"Mar 14, 2021","34.20","30.97","38.39","28.01","-","10.83%"
"Mar 07, 2021","30.86","24.98","35.00","23.88","-","23.92%"
"Feb 28, 2021","24.90","25.63","29.67","22.78","-","-3.33%"
"Feb 21, 2021","25.76","35.91","37.54","25.12","-","-28.08%"
"Feb 14, 2021","35.82","44.24","44.24","34.57","-","-18.87%"
"Feb 07, 2021","44.15","18.08","56.92","18.08","-","143.92%"
"Jan 31, 2021","18.10","12.03","18.10","12.03","-","50.72%"
"Jan 24, 2021","12.01","12.87","13.15","11.21","-","-6.73%"
"Jan 17, 2021","12.88","12.77","13.97","11.25","-","0.48%"
"Jan 10, 2021","12.82","7.30","12.91","5.88","-","78.29%"
