"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","413.79","426.83","429.41","391.87","4.23M","-3.06%"
"Apr 03, 2022","426.83","436.85","459.98","416.88","5.81M","-2.29%"
"Mar 27, 2022","436.82","415.82","453.96","411.81","6.21M","4.98%"
"Mar 20, 2022","416.08","399.91","421.49","385.59","4.26M","4.02%"
"Mar 13, 2022","400.00","372.40","406.10","359.80","1.40B","7.41%"
"Mar 06, 2022","372.40","384.70","402.30","363.20","1.86B","-3.20%"
"Feb 27, 2022","384.70","373.60","420.35","356.00","580.88M","3.05%"
"Feb 20, 2022","373.31","399.70","399.99","323.89","7.41M","-6.60%"
"Feb 13, 2022","399.70","403.22","441.20","390.61","4.82M","-0.87%"
"Feb 06, 2022","403.20","413.99","444.86","392.90","5.80M","-2.61%"
"Jan 30, 2022","413.99","389.29","430.88","359.82","4.88M","6.35%"
"Jan 23, 2022","389.29","358.30","401.34","336.82","8.30M","8.59%"
"Jan 16, 2022","358.50","494.49","505.59","337.57","7.90M","-27.53%"
"Jan 09, 2022","494.67","429.32","500.80","407.67","7.02M","15.22%"
"Jan 02, 2022","429.32","527.41","533.59","417.13","6.68M","-18.60%"
"Dec 26, 2021","527.40","547.33","571.60","507.11","5.34M","-3.64%"
"Dec 19, 2021","547.33","534.19","554.12","506.31","5.16M","2.46%"
"Dec 12, 2021","534.20","563.24","574.01","502.09","7.05M","-5.16%"
"Dec 05, 2021","563.24","568.60","616.24","533.30","9.43M","-0.95%"
"Nov 28, 2021","568.62","600.30","649.59","495.12","9.36M","-5.28%"
"Nov 21, 2021","600.30","604.28","657.70","554.30","11.27M","-0.66%"
"Nov 14, 2021","604.28","649.50","660.20","517.13","10.38M","-6.96%"
"Nov 07, 2021","649.50","636.30","668.80","575.72","8.89M","2.08%"
"Oct 31, 2021","636.30","528.20","636.30","509.32","10.68M","20.47%"
"Oct 24, 2021","528.20","485.41","540.31","438.55","8.56M","8.82%"
"Oct 17, 2021","485.40","465.12","505.62","455.77","8.70M","4.36%"
"Oct 10, 2021","465.12","421.72","484.40","392.49","12.15M","10.30%"
"Oct 03, 2021","421.69","427.18","449.89","411.61","8.93M","-1.29%"
"Sep 26, 2021","427.22","349.51","438.00","320.10","10.03M","22.23%"
"Sep 19, 2021","349.51","410.70","418.95","334.67","10.34M","-14.90%"
"Sep 12, 2021","410.70","405.10","436.39","385.32","7.88M","1.38%"
"Sep 05, 2021","405.10","497.40","508.86","373.12","12.51M","-18.56%"
"Aug 29, 2021","497.40","486.00","509.75","452.50","8.55M","2.34%"
"Aug 22, 2021","486.01","448.64","518.58","438.03","13.62M","8.33%"
"Aug 15, 2021","448.64","408.91","459.99","386.69","12.35M","9.72%"
"Aug 08, 2021","408.91","356.18","418.76","333.53","10.78M","14.77%"
"Aug 01, 2021","356.28","332.32","359.58","317.70","8.97M","7.18%"
"Jul 25, 2021","332.41","302.55","337.95","292.85","11.50M","9.65%"
"Jul 18, 2021","303.15","300.34","309.00","255.79","12.54M","0.94%"
