"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","19.80","21.71","21.84","18.00","20.32M","-8.83%"
"Apr 03, 2022","21.72","23.91","26.53","21.00","42.17M","-9.15%"
"Mar 27, 2022","23.91","19.43","27.99","18.99","83.28M","23.05%"
"Mar 20, 2022","19.43","18.21","19.78","17.26","22.00M","6.70%"
"Mar 13, 2022","18.21","17.71","18.38","16.50","166.77M","2.81%"
"Mar 06, 2022","17.71","19.10","19.26","17.12","216.52M","-7.28%"
"Feb 27, 2022","19.10","19.05","22.22","18.31","115.25M","0.26%"
"Feb 20, 2022","19.05","20.84","20.86","16.75","25.37M","-8.60%"
"Feb 13, 2022","20.84","20.85","23.55","19.93","25.70M","-0.05%"
"Feb 06, 2022","20.85","22.01","26.21","20.41","33.48M","-5.26%"
"Jan 30, 2022","22.01","20.24","22.80","19.01","22.76M","8.75%"
"Jan 23, 2022","20.24","19.01","20.75","16.84","39.25M","6.47%"
"Jan 16, 2022","19.01","29.71","31.44","17.16","25.48M","-36.02%"
"Jan 09, 2022","29.71","29.45","31.07","26.68","23.97M","0.90%"
"Jan 02, 2022","29.45","35.87","38.49","28.44","33.16M","-17.90%"
"Dec 26, 2021","35.87","37.02","41.14","33.46","31.05M","-3.15%"
"Dec 19, 2021","37.04","36.36","38.00","33.86","20.56M","2.03%"
"Dec 12, 2021","36.30","40.41","40.52","35.27","25.60M","-10.00%"
"Dec 05, 2021","40.33","41.07","43.43","35.53","45.65M","-1.81%"
"Nov 28, 2021","41.07","57.89","57.89","33.07","32.13M","-29.06%"
"Nov 21, 2021","57.90","54.38","59.35","48.70","42.57M","6.47%"
"Nov 14, 2021","54.38","62.92","63.46","48.90","42.30M","-13.56%"
"Nov 07, 2021","62.91","61.80","69.58","58.82","34.05M","1.80%"
"Oct 31, 2021","61.80","61.23","66.68","58.48","25.61M","0.93%"
"Oct 24, 2021","61.23","64.80","65.28","52.12","28.46M","-5.50%"
"Oct 17, 2021","64.80","66.47","68.14","61.30","23.36M","-2.50%"
"Oct 10, 2021","66.46","76.89","77.01","61.30","36.35M","-13.55%"
"Oct 03, 2021","76.88","69.66","80.99","65.71","41.63M","10.29%"
"Sep 26, 2021","69.71","60.39","73.89","50.19","53.23M","15.31%"
"Sep 19, 2021","60.45","84.30","85.10","59.04","43.04M","-28.33%"
"Sep 12, 2021","84.34","81.67","90.54","73.14","26.86M","3.27%"
"Sep 05, 2021","81.67","94.91","119.95","72.21","58.35M","-13.95%"
"Aug 29, 2021","94.91","73.97","96.37","70.45","15.70M","28.31%"
"Aug 22, 2021","73.97","78.45","82.10","70.48","19.35M","-5.70%"
"Aug 15, 2021","78.44","72.39","79.24","66.12","17.30M","8.36%"
"Aug 08, 2021","72.39","69.27","75.06","61.55","21.43M","4.51%"
"Aug 01, 2021","69.27","52.00","70.73","51.60","20.47M","32.92%"
"Jul 25, 2021","52.11","49.16","52.89","47.18","15.02M","10.34%"
"Jul 18, 2021","47.23","45.60","47.70","40.10","10.38M","3.58%"
"Jul 11, 2021","45.60","54.24","55.76","45.15","7.34M","-15.93%"
"Jul 04, 2021","54.24","58.86","60.07","52.88","8.07M","-7.85%"
"Jun 27, 2021","58.86","52.98","66.10","52.74","17.08M","11.10%"
"Jun 20, 2021","52.98","64.73","64.94","42.88","27.58M","-18.15%"
"Jun 13, 2021","64.73","69.59","77.24","63.63","10.73M","-6.98%"
"Jun 06, 2021","69.59","88.13","92.01","66.25","19.84M","-21.05%"
"May 30, 2021","88.13","68.19","97.61","65.31","28.04M","29.25%"
"May 23, 2021","68.19","72.07","79.65","55.44","24.62M","-5.38%"
"May 16, 2021","72.07","110.28","116.03","55.17","31.43M","-34.65%"
"May 09, 2021","110.28","148.01","149.58","91.65","15.29M","-25.48%"
"May 02, 2021","147.99","164.27","166.59","143.03","9.14M","-9.92%"
"Apr 25, 2021","164.28","133.71","167.29","131.69","9.02M","22.86%"
"Apr 18, 2021","133.71","180.90","182.99","122.48","7.48M","-26.08%"
"Apr 11, 2021","180.90","174.74","195.23","159.90","2.46M","3.53%"
"Apr 04, 2021","174.74","178.27","193.38","135.77","2.48M","-1.90%"
"Mar 28, 2021","178.13","132.51","237.17","120.95","4.41M","34.49%"
"Mar 21, 2021","132.45","82.12","139.36","73.68","2.58M","61.29%"
"Mar 14, 2021","82.12","49.43","96.61","49.40","3.27M","66.13%"
"Mar 07, 2021","49.43","40.39","51.99","40.31","1.06M","22.38%"
"Feb 28, 2021","40.39","37.91","44.74","34.86","1.53M","6.54%"
"Feb 21, 2021","37.91","43.03","45.83","31.72","2.12M","-12.02%"
"Feb 14, 2021","43.09","41.51","52.09","39.42","2.93M","3.82%"
"Feb 07, 2021","41.51","24.25","51.23","23.72","4.31M","71.12%"
"Jan 31, 2021","24.25","22.03","25.57","22.03","1.52M","10.08%"
"Jan 24, 2021","22.03","22.72","23.15","21.23","760.95K","-3.02%"
"Jan 17, 2021","22.72","22.84","26.09","20.91","995.78K","-0.54%"
"Jan 10, 2021","22.84","22.01","24.95","21.00","768.90K","3.79%"
"Jan 03, 2021","22.01","21.76","22.97","20.96","652.13K","1.12%"
"Dec 27, 2020","21.76","23.58","26.23","20.00","746.04K","-7.70%"
"Dec 20, 2020","23.58","28.19","28.46","21.55","1.05M","-16.35%"
"Dec 13, 2020","28.19","30.09","30.45","28.09","544.64K","-6.31%"
"Dec 06, 2020","30.09","29.82","32.30","29.02","835.29K","0.91%"
"Nov 29, 2020","29.82","29.91","32.00","28.90","664.42K","-0.30%"
"Nov 22, 2020","29.91","29.95","35.15","28.77","1.02M","-0.17%"
"Nov 15, 2020","29.96","29.27","30.97","26.82","892.93K","2.36%"
"Nov 08, 2020","29.27","29.96","32.40","28.50","912.78K","-2.30%"
"Nov 01, 2020","29.96","31.30","33.23","27.94","967.11K","-4.28%"
"Oct 25, 2020","31.30","25.73","40.10","25.28","1.32M","21.65%"
"Oct 18, 2020","25.73","42.31","42.31","20.79","758.70K","-39.33%"
"Oct 11, 2020","42.41","88.00","213.97","40.11","2.18M","58.07%"
"Oct 04, 2020","26.83","22.12","27.41","20.18","1.06M","21.29%"
"Sep 27, 2020","22.12","16.12","24.73","14.78","1.72M","37.22%"
"Sep 20, 2020","16.12","18.55","18.68","12.59","598.71K","-13.10%"
"Sep 13, 2020","18.55","18.71","19.51","17.92","723.60K","-0.86%"
"Sep 06, 2020","18.71","20.68","22.12","17.29","728.14K","-9.53%"
"Aug 30, 2020","20.68","24.82","25.01","20.02","928.57K","-16.68%"
"Aug 23, 2020","24.82","20.70","26.00","20.15","1.17M","19.90%"
"Aug 16, 2020","20.70","19.65","21.51","18.35","606.00K","5.34%"
"Aug 09, 2020","19.65","21.05","21.73","17.86","734.40K","-6.65%"
"Aug 02, 2020","21.05","22.21","22.50","19.85","791.82K","-5.22%"
"Jul 26, 2020","22.21","18.96","22.75","18.50","962.80K","25.84%"
"Jul 19, 2020","17.65","18.80","19.24","16.63","1.04M","-6.12%"
"Jul 12, 2020","18.80","19.42","21.40","17.55","1.62M","-3.19%"
"Jul 05, 2020","19.42","20.15","24.83","18.20","1.90M","-3.62%"
"Jun 28, 2020","20.15","11.16","25.00","11.13","1.60M","80.52%"
"Jun 21, 2020","11.16","11.45","12.61","10.26","633.28K","-2.52%"
"Jun 14, 2020","11.45","12.60","12.75","10.60","280.49K","-9.12%"
"Jun 07, 2020","12.60","12.47","15.65","11.00","292.23K","1.08%"
"May 31, 2020","12.47","11.19","12.80","10.20","115.86K","11.40%"
"May 24, 2020","11.19","8.40","13.46","7.88","56.06K","33.20%"
"May 17, 2020","8.40","8.40","8.60","7.61","38.97K","0.00%"
"May 10, 2020","8.40","7.83","8.94","7.19","65.54K","7.31%"
"May 03, 2020","7.83","7.57","7.86","7.28","23.41K","3.35%"
"Apr 26, 2020","7.57","7.18","7.89","7.11","32.96K","5.41%"
"Apr 19, 2020","7.18","7.90","8.00","6.74","48.95K","-9.05%"
"Apr 12, 2020","7.90","7.62","7.93","7.09","28.30K","3.62%"
"Apr 05, 2020","7.62","8.16","8.47","7.14","34.94K","-6.60%"
"Mar 29, 2020","8.16","7.46","8.57","7.10","76.01K","9.44%"
"Mar 22, 2020","7.46","6.38","7.99","6.38","71.77K","16.89%"
"Mar 15, 2020","6.38","5.05","6.99","4.50","152.83K","26.48%"
"Mar 08, 2020","5.05","6.55","6.75","2.86","170.56K","-23.00%"
"Mar 01, 2020","6.55","6.20","6.86","6.13","24.93K","5.71%"
"Feb 23, 2020","6.20","6.59","7.00","5.91","51.92K","-5.99%"
"Feb 16, 2020","6.59","6.84","7.43","6.52","57.27K","-3.61%"
"Feb 09, 2020","6.84","7.19","7.57","6.50","122.09K","-4.84%"
"Feb 02, 2020","7.19","7.03","7.30","7.03","31.22K","2.28%"
"Jan 26, 2020","7.03","6.74","7.55","6.62","19.01K","4.33%"
"Jan 19, 2020","6.74","7.14","7.70","6.49","54.12K","-5.66%"
"Jan 12, 2020","7.14","6.72","7.27","6.40","37.85K","6.17%"
"Jan 05, 2020","6.72","6.54","6.98","6.20","40.14K","2.80%"
"Dec 29, 2019","6.54","6.29","6.64","6.21","16.63K","3.96%"
"Dec 22, 2019","6.29","6.32","6.54","5.97","17.00K","-0.49%"
"Dec 15, 2019","6.32","6.76","7.00","5.91","27.88K","-6.45%"
"Dec 08, 2019","6.76","7.25","8.02","6.56","71.87K","-6.73%"
"Dec 01, 2019","7.25","7.00","7.49","6.50","38.10K","3.56%"
"Nov 24, 2019","7.00","7.15","7.31","6.10","48.32K","-2.06%"
"Nov 17, 2019","7.15","7.50","8.48","6.57","64.17K","-4.72%"
"Nov 10, 2019","7.50","8.21","8.47","6.99","59.43K","-8.65%"
"Nov 03, 2019","8.21","8.48","8.62","8.04","23.46K","-3.18%"
"Oct 27, 2019","8.48","8.23","8.71","7.70","48.53K","3.01%"
"Oct 20, 2019","8.23","7.58","8.66","7.42","52.23K","8.60%"
"Oct 13, 2019","7.58","7.18","9.36","7.11","68.81K","5.57%"
"Oct 06, 2019","7.18","5.95","7.41","5.53","18.73K","20.67%"
"Sep 29, 2019","5.95","5.74","5.98","5.50","10.79K","3.62%"
"Sep 22, 2019","5.74","5.90","6.39","5.35","42.87K","-2.68%"
"Sep 15, 2019","5.90","6.38","6.50","5.49","47.07K","-7.52%"
"Sep 08, 2019","6.38","6.72","6.88","5.99","31.16K","-5.06%"
"Sep 01, 2019","6.72","6.33","7.20","6.00","48.43K","6.19%"
"Aug 25, 2019","6.33","6.72","7.22","6.21","22.40K","-5.79%"
"Aug 18, 2019","6.72","6.61","6.95","6.60","12.37K","1.63%"
"Aug 11, 2019","6.61","7.17","7.58","6.40","34.47K","-7.86%"
"Aug 04, 2019","7.17","7.84","7.98","6.80","28.40K","-8.53%"
"Jul 28, 2019","7.84","7.98","7.98","7.55","30.44K","-1.73%"
"Jul 21, 2019","7.98","8.80","8.80","7.55","19.78K","-9.33%"
"Jul 14, 2019","8.80","8.24","8.87","6.83","69.69K","6.81%"
"Jul 07, 2019","8.24","9.10","9.40","7.45","82.01K","-9.44%"
"Jun 30, 2019","9.10","9.63","10.00","8.60","31.07K","-5.52%"
"Jun 23, 2019","9.63","9.19","10.50","8.56","110.71K","4.78%"
"Jun 16, 2019","9.19","8.06","9.28","7.70","138.94K","14.00%"
"Jun 09, 2019","8.06","6.95","8.76","6.52","57.20K","16.00%"
"Jun 02, 2019","6.95","7.20","7.68","6.21","90.64K","-3.47%"
"May 26, 2019","7.20","7.59","8.01","6.61","400.38K","-5.08%"
"May 19, 2019","7.59","7.04","8.00","7.04","89.19K","7.71%"
"May 12, 2019","7.04","9.01","9.05","6.58","286.93K","-21.83%"
"May 05, 2019","9.01","10.36","10.69","8.10","236.29K","-13.07%"
"Apr 28, 2019","10.36","6.87","11.39","6.71","196.32K","50.87%"
"Apr 21, 2019","6.87","7.06","7.37","5.89","242.79K","-2.66%"
"Apr 14, 2019","7.06","4.78","7.94","4.50","670.74K","47.53%"
"Apr 07, 2019","4.78","4.21","4.80","3.90","148.27K","13.53%"
"Mar 31, 2019","4.21","3.97","4.50","3.86","527.93K","6.17%"
"Mar 24, 2019","3.97","3.90","3.97","3.79","281.89K","1.64%"
"Mar 17, 2019","3.90","3.85","3.98","3.84","98.66K","1.53%"
"Mar 10, 2019","3.85","3.92","4.07","3.79","183.21K","-1.84%"
"Mar 03, 2019","3.92","3.99","4.18","3.80","196.09K","-1.80%"
"Feb 24, 2019","3.99","4.13","4.19","3.80","154.77K","-3.44%"
