"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","5.4895","6.2753","6.4660","5.3113","11.13M","-12.55%"
"Apr 03, 2022","6.2776","7.2252","7.7564","6.1000","16.03M","-13.12%"
"Mar 27, 2022","7.2254","6.7539","7.9307","6.2222","16.72M","7.09%"
"Mar 20, 2022","6.7472","6.2870","7.1799","6.0131","16.80M","7.32%"
"Mar 13, 2022","6.2867","6.6563","6.8330","5.9426","17.01M","-5.57%"
"Mar 06, 2022","6.6574","7.0921","8.3000","5.9309","47.46M","-6.13%"
"Feb 27, 2022","7.0921","6.6299","8.2986","6.0395","29.00M","7.07%"
"Feb 20, 2022","6.6237","7.1792","7.3726","5.1500","35.13M","-7.76%"
"Feb 13, 2022","7.1807","7.3403","8.8843","6.5000","27.30M","-2.17%"
"Feb 06, 2022","7.3403","6.1408","10.3206","6.0712","43.44M","19.04%"
"Jan 30, 2022","6.1660","6.4588","6.4962","5.1022","17.78M","-4.52%"
"Jan 23, 2022","6.4580","5.0204","6.7999","4.5239","24.89M","28.64%"
"Jan 16, 2022","5.0204","9.3953","9.3953","4.4194","27.48M","-46.45%"
"Jan 09, 2022","9.3758","9.0228","10.9205","7.7923","19.88M","3.89%"
"Jan 02, 2022","9.0246","12.7385","12.8153","8.1825","23.65M","-29.15%"
"Dec 26, 2021","12.7385","13.7595","16.8998","11.8801","28.30M","-7.42%"
"Dec 19, 2021","13.7598","11.2269","13.9999","9.7299","22.90M","22.20%"
"Dec 12, 2021","11.2605","10.0862","14.2441","8.6370","25.13M","11.71%"
"Dec 05, 2021","10.0804","12.0129","14.5304","8.9076","29.05M","-16.39%"
"Nov 28, 2021","12.0570","17.1500","18.9550","10.0000","17.61M","-29.66%"
"Nov 21, 2021","17.1402","19.9890","21.2200","15.9593","24.22M","-14.25%"
"Nov 14, 2021","19.9890","22.7760","24.3777","17.2158","27.48M","-12.24%"
"Nov 07, 2021","22.7760","14.8951","28.3000","14.2799","60.73M","52.91%"
"Oct 31, 2021","14.8951","6.0615","14.9000","5.6815","25.89M","145.73%"
