"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","14.00","15.43","15.92","13.33","19.56M","-9.28%"
"Apr 03, 2022","15.43","17.39","18.31","15.04","25.14M","-11.27%"
"Mar 27, 2022","17.39","15.85","18.05","15.64","37.66M","9.72%"
"Mar 20, 2022","15.85","15.01","16.45","14.31","31.91M","5.60%"
"Mar 13, 2022","15.01","13.15","15.38","12.60","425.82M","14.14%"
"Mar 06, 2022","13.15","14.03","14.45","12.44","520.15M","-6.27%"
"Feb 27, 2022","14.03","14.70","15.85","13.34","200.41M","-4.56%"
"Feb 20, 2022","14.70","15.52","15.53","11.42","57.01M","-5.28%"
"Feb 13, 2022","15.52","15.94","17.45","14.86","29.42M","-2.64%"
"Feb 06, 2022","15.94","17.76","19.52","15.58","38.44M","-10.26%"
"Jan 30, 2022","17.76","16.20","18.30","15.28","49.65M","9.63%"
"Jan 23, 2022","16.20","15.87","16.79","13.50","73.35M","2.10%"
"Jan 16, 2022","15.87","25.18","26.34","14.29","63.23M","-36.98%"
"Jan 09, 2022","25.18","25.32","28.69","23.93","94.22M","-0.55%"
"Jan 02, 2022","25.32","20.75","27.44","20.58","127.38M","22.04%"
"Dec 26, 2021","20.75","22.10","24.45","19.04","55.79M","-6.12%"
"Dec 19, 2021","22.10","19.54","22.63","18.04","44.69M","13.10%"
"Dec 12, 2021","19.54","19.91","20.79","17.27","48.90M","-1.85%"
"Dec 05, 2021","19.91","20.70","23.18","17.23","79.13M","-3.84%"
"Nov 28, 2021","20.70","24.09","26.89","15.52","45.68M","-14.05%"
"Nov 21, 2021","24.09","28.35","29.24","22.94","56.80M","-15.03%"
"Nov 14, 2021","28.35","34.00","34.50","25.87","49.56M","-16.62%"
"Nov 07, 2021","34.00","32.04","38.19","31.71","60.74M","6.13%"
"Oct 31, 2021","32.04","29.75","33.69","28.68","47.23M","7.68%"
"Oct 24, 2021","29.75","31.39","33.89","27.92","65.17M","-5.21%"
"Oct 17, 2021","31.39","27.22","31.44","25.28","53.25M","15.42%"
"Oct 10, 2021","27.19","27.44","28.66","23.56","55.19M","-0.90%"
"Oct 03, 2021","27.44","26.90","28.17","25.21","50.98M","1.96%"
"Sep 26, 2021","26.91","24.50","27.80","22.01","71.72M","9.82%"
"Sep 19, 2021","24.50","28.39","28.79","20.87","90.79M","-13.69%"
"Sep 12, 2021","28.39","27.00","32.09","25.25","90.65M","5.22%"
"Sep 05, 2021","26.98","29.89","36.31","23.99","123.16M","-9.72%"
"Aug 29, 2021","29.89","25.73","31.73","24.38","67.28M","16.22%"
"Aug 22, 2021","25.72","27.84","29.29","23.90","50.55M","-7.61%"
"Aug 15, 2021","27.84","27.15","30.49","24.51","82.04M","2.54%"
"Aug 08, 2021","27.15","24.69","27.92","22.10","63.42M","9.97%"
"Aug 01, 2021","24.69","22.68","25.11","21.44","80.23M","8.84%"
"Jul 25, 2021","22.68","16.46","23.30","16.18","96.20M","35.43%"
"Jul 18, 2021","16.75","15.35","17.11","13.43","64.26M","9.10%"
"Jul 11, 2021","15.35","18.20","18.60","15.03","48.09M","-15.67%"
"Jul 04, 2021","18.20","18.72","21.25","17.71","67.36M","-2.78%"
"Jun 27, 2021","18.72","16.95","20.51","16.61","70.26M","10.46%"
"Jun 20, 2021","16.95","20.31","22.05","15.02","130.73M","-16.57%"
"Jun 13, 2021","20.31","21.66","26.44","20.27","85.76M","-6.21%"
"Jun 06, 2021","21.66","27.12","28.68","20.01","93.42M","-20.13%"
"May 30, 2021","27.12","25.36","32.82","23.77","111.97M","6.95%"
"May 23, 2021","25.36","23.29","35.29","15.03","201.32M","8.98%"
"May 16, 2021","23.27","41.44","44.62","20.83","176.87M","-43.85%"
"May 09, 2021","41.44","48.61","52.95","39.52","93.33M","-14.75%"
"May 02, 2021","48.61","43.01","51.88","42.30","115.62M","18.06%"
"Apr 25, 2021","41.18","31.21","41.22","29.89","61.11M","31.99%"
"Apr 18, 2021","31.20","39.92","41.94","29.71","147.27M","-21.86%"
"Apr 11, 2021","39.93","31.92","44.30","31.75","94.37M","25.09%"
"Apr 04, 2021","31.92","29.31","35.07","28.79","55.92M","8.90%"
"Mar 28, 2021","29.31","26.85","33.16","26.12","44.81M","9.16%"
"Mar 21, 2021","26.85","29.64","30.06","23.83","46.25M","-9.38%"
"Mar 14, 2021","29.63","29.75","31.39","26.46","50.80M","-0.40%"
"Mar 07, 2021","29.75","28.16","31.98","27.02","59.96M","5.64%"
"Feb 28, 2021","28.16","26.17","31.42","22.91","88.86M","7.61%"
"Feb 21, 2021","26.17","33.99","35.26","20.89","129.72M","-23.04%"
"Feb 14, 2021","34.00","34.18","36.92","27.51","83.11M","-0.53%"
"Feb 07, 2021","34.18","25.01","34.73","22.95","91.56M","36.66%"
"Jan 31, 2021","25.01","23.64","26.97","21.66","88.42M","5.87%"
"Jan 24, 2021","23.63","24.79","25.77","20.30","116.02M","-4.71%"
"Jan 17, 2021","24.79","20.14","25.48","17.20","157.49M","23.08%"
"Jan 10, 2021","20.14","17.56","22.84","12.54","226.14M","14.76%"
"Jan 03, 2021","17.55","12.21","17.86","11.84","171.94M","43.70%"
"Dec 27, 2020","12.21","10.97","13.20","10.51","114.53M","11.30%"
"Dec 20, 2020","10.97","13.47","13.78","8.21","99.57M","-18.55%"
"Dec 13, 2020","13.47","12.22","14.50","12.03","66.27M","10.27%"
"Dec 06, 2020","12.22","13.17","13.55","11.43","50.21M","-7.25%"
"Nov 29, 2020","13.17","13.09","14.82","12.52","75.60M","0.65%"
"Nov 22, 2020","13.09","15.45","16.36","11.32","143.61M","-15.30%"
"Nov 15, 2020","15.45","12.54","15.47","11.83","113.22M","23.18%"
"Nov 08, 2020","12.54","11.76","13.41","11.50","114.26M","6.72%"
"Nov 01, 2020","11.75","11.23","13.57","9.78","117.14M","4.63%"
"Oct 25, 2020","11.23","12.70","12.84","10.78","115.09M","-11.53%"
"Oct 18, 2020","12.70","10.63","12.94","9.78","92.55M","19.55%"
"Oct 11, 2020","10.62","10.52","11.79","10.17","103.32M","1.00%"
"Oct 04, 2020","10.52","9.27","10.88","8.39","101.58M","13.47%"
"Sep 27, 2020","9.27","10.30","11.06","8.83","124.66M","-10.01%"
"Sep 20, 2020","10.30","10.12","11.19","7.36","184.59M","1.75%"
"Sep 13, 2020","10.12","12.72","13.22","9.81","120.12M","-20.38%"
