"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","80.2369","97.4363","97.4800","79.1178","26.35M","-17.65%"
"Apr 03, 2022","97.4363","115.1179","119.3980","92.2483","34.58M","-15.35%"
"Mar 27, 2022","115.1039","91.3871","117.0050","89.6695","33.04M","25.95%"
"Mar 20, 2022","91.3871","92.1658","97.7437","88.9285","23.98M","-0.85%"
"Mar 13, 2022","92.1703","86.0400","95.7399","82.6300","2.58B","7.26%"
"Mar 06, 2022","85.9301","87.5500","104.4902","75.6500","4.90B","-1.85%"
"Feb 27, 2022","87.5500","78.0576","96.4673","70.5195","1.33B","12.17%"
"Feb 20, 2022","78.0487","50.4595","79.5895","47.3237","68.49M","54.68%"
"Feb 13, 2022","50.4595","52.1417","58.2695","49.0604","22.80M","-3.07%"
"Feb 06, 2022","52.0558","55.3621","60.5902","49.4308","35.95M","-6.10%"
"Jan 30, 2022","55.4382","50.8404","57.9943","43.4980","50.93M","9.04%"
"Jan 23, 2022","50.8404","62.8976","70.2462","47.5885","73.21M","-19.17%"
"Jan 16, 2022","62.8976","87.2702","87.5410","53.9832","46.67M","-27.93%"
"Jan 09, 2022","87.2776","66.9095","87.8593","65.3097","38.63M","30.49%"
"Jan 02, 2022","66.8859","91.6753","93.9498","62.5471","37.76M","-27.04%"
"Dec 26, 2021","91.6686","98.2924","103.4910","81.1727","36.92M","-6.74%"
"Dec 19, 2021","98.2924","74.1848","101.1509","72.2921","69.04M","32.50%"
"Dec 12, 2021","74.1848","60.1161","74.2090","52.2804","55.27M","23.83%"
"Dec 05, 2021","59.9099","75.3356","78.0841","57.7602","88.49M","-20.51%"
"Nov 28, 2021","75.3657","43.8920","78.0658","42.2989","77.40M","71.60%"
"Nov 21, 2021","43.9193","45.1988","45.3587","37.8498","43.03M","-2.78%"
"Nov 14, 2021","45.1767","52.0746","52.4656","38.8875","38.90M","-13.24%"
"Nov 07, 2021","52.0699","51.1481","54.7987","44.5045","32.39M","1.82%"
"Oct 31, 2021","51.1395","43.2464","53.0913","41.2159","36.16M","18.25%"
"Oct 24, 2021","43.2464","43.1063","46.9184","38.1385","44.98M","0.28%"
"Oct 17, 2021","43.1246","36.5909","45.5045","35.0078","56.10M","17.86%"
"Oct 10, 2021","36.5909","42.4800","43.2129","35.2408","48.69M","-13.86%"
"Oct 03, 2021","42.4800","41.4988","49.4883","40.4158","73.00M","2.41%"
"Sep 26, 2021","41.4799","37.8781","43.5224","33.0106","77.06M","9.49%"
"Sep 19, 2021","37.8853","34.7720","41.2137","23.9772","134.54M","8.95%"
