"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","111.600","112.800","114.500","101.900","2.26M","-1.06%"
"Apr 03, 2022","112.800","124.700","129.500","109.900","2.67M","-9.54%"
"Mar 27, 2022","124.700","124.900","134.000","119.200","3.58M","-0.16%"
"Mar 20, 2022","124.900","116.900","127.700","111.500","3.14M","6.84%"
"Mar 13, 2022","116.900","105.500","117.100","100.900","306.14M","10.81%"
"Mar 06, 2022","105.500","104.900","109.200","96.400","344.81M","0.57%"
"Feb 27, 2022","104.900","108.200","115.800","99.100","124.75M","-3.05%"
"Feb 20, 2022","108.200","115.600","115.800","91.700","4.61M","-6.40%"
"Feb 13, 2022","115.600","126.700","132.400","113.000","3.16M","-8.76%"
"Feb 06, 2022","126.700","121.800","143.800","120.900","4.42M","4.02%"
"Jan 30, 2022","121.800","110.900","123.800","104.400","3.55M","9.93%"
"Jan 23, 2022","110.800","108.300","116.500","97.900","4.53M","2.31%"
"Jan 16, 2022","108.300","147.700","153.500","96.600","4.61M","-26.68%"
"Jan 09, 2022","147.700","129.400","150.500","121.100","3.38M","14.14%"
"Jan 02, 2022","129.400","150.800","153.200","125.300","3.45M","-14.19%"
"Dec 26, 2021","150.800","157.700","161.100","143.000","3.48M","-4.38%"
"Dec 19, 2021","157.700","148.700","166.700","145.400","3.40M","6.05%"
"Dec 12, 2021","148.700","157.600","162.400","141.500","3.52M","-5.65%"
"Dec 05, 2021","157.600","162.900","169.700","141.500","5.82M","-3.25%"
"Nov 28, 2021","162.900","195.100","218.900","130.300","5.51M","-16.55%"
"Nov 21, 2021","195.200","226.800","230.100","190.400","6.84M","-13.93%"
"Nov 14, 2021","226.800","257.700","281.100","199.800","10.09M","-11.99%"
"Nov 07, 2021","257.700","197.600","295.100","197.100","15.01M","30.41%"
"Oct 31, 2021","197.600","189.512","208.425","187.665","166.80M","4.25%"
"Oct 24, 2021","189.552","196.350","204.809","171.370","327.91M","-3.46%"
"Oct 17, 2021","196.350","185.770","214.459","176.626","489.59M","5.77%"
"Oct 10, 2021","185.641","179.820","192.839","166.560","495.18M","3.24%"
"Oct 03, 2021","179.810","169.050","186.930","161.679","480.41M","6.37%"
"Sep 26, 2021","169.040","150.850","172.648","139.921","463.99M","11.99%"
"Sep 19, 2021","150.940","181.341","181.650","141.813","488.99M","-16.76%"
"Sep 12, 2021","181.331","178.530","233.814","170.921","489.14M","1.57%"
"Sep 05, 2021","178.520","212.020","232.270","163.417","312.44M","-15.89%"
"Aug 29, 2021","212.239","175.480","224.990","165.740","200.99M","20.96%"
"Aug 22, 2021","175.460","179.697","191.260","165.037","256.70M","-2.36%"
"Aug 15, 2021","179.698","182.791","188.739","162.752","273.55M","-1.65%"
"Aug 08, 2021","182.710","155.980","184.955","145.347","186.15M","17.08%"
"Aug 01, 2021","156.057","144.093","156.299","135.680","78.14M","7.86%"
"Jul 25, 2021","144.691","125.886","146.478","123.781","75.19M","15.26%"
"Jul 18, 2021","125.531","119.870","127.399","104.049","95.61M","4.72%"
"Jul 11, 2021","119.870","133.990","139.678","117.702","103.73M","-10.53%"
