"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","1.373","1.463","1.490","1.314","345.75M","-6.14%"
"Apr 03, 2022","1.463","1.653","1.713","1.424","412.29M","-11.43%"
"Mar 27, 2022","1.652","1.612","1.750","1.563","500.85M","2.49%"
"Mar 20, 2022","1.612","1.529","1.663","1.443","422.23M","5.44%"
"Mar 13, 2022","1.529","1.396","1.541","1.330","564.39M","9.53%"
"Mar 06, 2022","1.396","1.507","1.544","1.372","790.77M","-7.38%"
"Feb 27, 2022","1.507","1.514","1.697","1.424","806.56M","-0.46%"
"Feb 20, 2022","1.514","1.633","1.634","1.247","1.09B","-7.27%"
"Feb 13, 2022","1.633","1.701","1.878","1.562","587.57M","-3.99%"
"Feb 06, 2022","1.701","1.712","2.083","1.645","908.46M","-0.72%"
"Jan 30, 2022","1.713","1.694","1.757","1.477","572.22M","1.10%"
"Jan 23, 2022","1.694","1.536","1.816","1.307","1.20B","10.30%"
"Jan 16, 2022","1.536","2.347","2.450","1.402","989.88M","-34.55%"
"Jan 09, 2022","2.347","1.985","2.447","1.923","787.33M","18.20%"
"Jan 02, 2022","1.985","2.573","2.583","1.904","783.72M","-22.82%"
"Dec 26, 2021","2.573","2.640","2.922","2.410","1.02B","-2.55%"
"Dec 19, 2021","2.640","2.231","2.733","2.048","1.17B","18.31%"
"Dec 12, 2021","2.231","2.133","2.256","1.739","1.33B","4.61%"
"Dec 05, 2021","2.133","1.983","2.575","1.714","2.77B","7.55%"
"Nov 28, 2021","1.983","1.613","2.393","1.502","1.84B","22.95%"
"Nov 21, 2021","1.613","1.663","1.965","1.527","945.56M","-3.02%"
"Nov 14, 2021","1.663","1.751","1.775","1.445","639.99M","-5.01%"
"Nov 07, 2021","1.751","1.883","1.940","1.546","850.31M","-7.07%"
"Oct 31, 2021","1.884","1.866","2.148","1.798","891.17M","1.00%"
"Oct 24, 2021","1.865","1.641","2.216","1.526","1.89B","13.66%"
"Oct 17, 2021","1.641","1.507","1.674","1.408","925.20M","9.10%"
"Oct 10, 2021","1.504","1.352","1.629","1.153","1.95B","11.40%"
"Oct 03, 2021","1.350","1.294","1.437","1.203","991.74M","4.34%"
"Sep 26, 2021","1.294","1.122","1.355","1.032","760.15M","15.35%"
"Sep 19, 2021","1.122","1.366","1.371","1.018","1.20B","-17.87%"
"Sep 12, 2021","1.366","1.316","1.496","1.199","1.09B","3.88%"
"Sep 05, 2021","1.315","1.740","1.797","1.120","2.10B","-24.42%"
"Aug 29, 2021","1.740","1.457","1.741","1.302","1.19B","19.40%"
"Aug 22, 2021","1.457","1.583","1.685","1.351","1.14B","-8.02%"
"Aug 15, 2021","1.584","1.441","1.700","1.279","1.61B","9.89%"
"Aug 08, 2021","1.442","1.167","1.515","1.039","2.11B","23.50%"
"Aug 01, 2021","1.167","1.079","1.194","1.006","1.05B","8.24%"
"Jul 25, 2021","1.078","0.936","1.134","0.888","1.93B","17.34%"
"Jul 18, 2021","0.919","0.801","0.955","0.624","2.53B","14.70%"
"Jul 11, 2021","0.801","1.030","1.057","0.783","909.91M","-22.17%"
"Jul 04, 2021","1.030","1.133","1.179","1.006","1.02B","-9.12%"
"Jun 27, 2021","1.133","1.077","1.248","1.035","1.46B","5.51%"
"Jun 20, 2021","1.074","1.360","1.433","0.930","3.11B","-21.04%"
"Jun 13, 2021","1.360","1.340","1.706","1.306","2.69B","1.48%"
"Jun 06, 2021","1.340","1.528","1.727","1.163","2.68B","-12.29%"
"May 30, 2021","1.528","1.692","1.982","1.455","3.92B","-9.74%"
"May 23, 2021","1.692","1.191","2.429","0.749","10.16B","42.08%"
"May 16, 2021","1.191","1.596","2.658","1.101","7.58B","-25.99%"
"May 09, 2021","1.609","0.849","1.884","0.786","5.10B","89.61%"
"May 02, 2021","0.849","0.786","0.867","0.709","1.95B","7.96%"
"Apr 25, 2021","0.786","0.355","0.945","0.345","7.24B","121.71%"
"Apr 18, 2021","0.355","0.402","0.421","0.295","2.24B","-11.84%"
"Apr 11, 2021","0.402","0.358","0.467","0.350","1.89B","12.39%"
"Apr 04, 2021","0.358","0.352","0.390","0.311","1.24B","1.78%"
"Mar 28, 2021","0.352","0.333","0.422","0.329","1.62B","5.69%"
"Mar 21, 2021","0.333","0.383","0.400","0.299","1.38B","-13.19%"
"Mar 14, 2021","0.383","0.425","0.437","0.347","2.26B","-9.82%"
"Mar 07, 2021","0.425","0.213","0.525","0.205","5.86B","99.86%"
"Feb 28, 2021","0.213","0.197","0.254","0.173","4.16B","8.17%"
"Feb 21, 2021","0.197","0.145","0.231","0.100","6.97B","35.78%"
"Feb 14, 2021","0.145","0.112","0.200","0.082","4.66B","29.81%"
"Feb 07, 2021","0.112","0.052","0.145","0.048","6.50B","112.77%"
"Jan 31, 2021","0.052","0.040","0.056","0.036","3.21B","31.21%"
"Jan 24, 2021","0.040","0.034","0.048","0.032","5.53B","17.40%"
"Jan 17, 2021","0.034","0.033","0.038","0.026","2.70B","4.00%"
