"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","15.7584","17.5336","17.7503","14.9677","123.77M","-10.12%"
"Apr 03, 2022","17.5336","14.8265","19.6897","14.5729","234.18M","18.27%"
"Mar 27, 2022","14.8253","12.7161","16.2726","12.5002","87.25M","16.59%"
"Mar 20, 2022","12.7162","11.3006","13.5289","10.5352","69.41M","12.53%"
"Mar 13, 2022","11.3006","10.3270","11.5481","9.6831","606.99M","9.34%"
"Mar 06, 2022","10.3349","10.5100","11.9440","9.3340","984.96M","-1.67%"
"Feb 27, 2022","10.5100","9.0921","11.9105","8.2991","434.04M","15.63%"
"Feb 20, 2022","9.0891","10.0463","10.0773","7.3868","73.28M","-9.53%"
"Feb 13, 2022","10.0463","10.7924","11.7098","9.8517","50.20M","-6.74%"
"Feb 06, 2022","10.7729","12.8185","14.0788","10.4248","78.81M","-16.10%"
"Jan 30, 2022","12.8403","11.0284","13.5663","10.0465","88.50M","16.49%"
"Jan 23, 2022","11.0229","11.4094","12.8764","9.5198","154.46M","-3.39%"
"Jan 16, 2022","11.4094","19.2723","20.4410","10.1541","130.07M","-40.80%"
"Jan 09, 2022","19.2723","13.8124","20.4430","13.1221","142.70M","39.53%"
"Jan 02, 2022","13.8124","15.1759","17.6357","13.3375","129.80M","-8.97%"
"Dec 26, 2021","15.1733","15.1893","16.3963","13.0460","116.49M","-0.20%"
"Dec 19, 2021","15.2031","8.4149","15.8818","8.2705","192.47M","80.67%"
"Dec 12, 2021","8.4149","11.6256","19.3580","8.0869","127.25M","-27.52%"
"Dec 05, 2021","11.6102","8.0021","11.7074","6.6355","127.15M","44.97%"
"Nov 28, 2021","8.0089","8.3147","9.5555","6.1899","69.27M","-3.68%"
"Nov 21, 2021","8.3147","9.7979","10.2763","7.8709","59.79M","-15.14%"
"Nov 14, 2021","9.7979","11.1614","11.9718","8.4359","75.73M","-12.22%"
"Nov 07, 2021","11.1614","10.1885","12.6424","9.9995","90.06M","9.56%"
"Oct 31, 2021","10.1874","10.4755","11.5003","9.6952","67.92M","-2.75%"
"Oct 24, 2021","10.4755","9.3148","13.2086","9.1400","135.18M","12.46%"
"Oct 17, 2021","9.3148","7.8434","9.7625","7.5998","73.68M","18.80%"
"Oct 10, 2021","7.8409","8.0329","8.2642","6.7759","67.58M","-2.39%"
"Oct 03, 2021","8.0329","7.8059","8.7356","7.1529","97.29M","2.85%"
"Sep 26, 2021","7.8101","7.6208","8.2672","6.3738","108.66M","2.48%"
"Sep 19, 2021","7.6210","9.0666","10.4060","6.3531","201.84M","-15.94%"
