"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","2.7880","3.0039","3.0268","2.6485","148.97M","-7.22%"
"Apr 03, 2022","3.0051","3.4546","3.5949","2.8705","200.79M","-12.99%"
"Mar 27, 2022","3.4536","3.3971","3.8463","3.2471","303.47M","1.66%"
"Mar 20, 2022","3.3972","3.2311","3.5869","2.9976","267.22M","5.18%"
"Mar 13, 2022","3.2299","2.7797","3.3495","2.6701","814.24M","16.23%"
"Mar 06, 2022","2.7789","3.0075","3.0562","2.7077","542.61M","-7.65%"
"Feb 27, 2022","3.0089","3.0969","3.4281","2.8302","574.38M","-2.80%"
"Feb 20, 2022","3.0957","3.5010","3.5020","2.6326","509.42M","-11.58%"
"Feb 13, 2022","3.5010","4.2116","4.4536","3.4076","303.31M","-16.87%"
"Feb 06, 2022","4.2116","4.3424","4.8614","4.0547","370.06M","-3.01%"
"Jan 30, 2022","4.3425","3.8833","4.4985","3.5016","403.70M","11.83%"
"Jan 23, 2022","3.8833","3.0024","3.9080","2.6264","522.19M","29.34%"
"Jan 16, 2022","3.0024","4.8421","5.0603","2.5621","369.54M","-38.00%"
"Jan 09, 2022","4.8423","4.6156","5.2102","4.2252","332.86M","4.91%"
"Jan 02, 2022","4.6156","5.9678","5.9917","4.4715","402.80M","-22.66%"
"Dec 26, 2021","5.9678","6.6935","6.9583","5.5960","440.45M","-10.84%"
"Dec 19, 2021","6.6935","5.1562","6.7979","4.7253","428.37M","29.63%"
"Dec 12, 2021","5.1636","5.0574","5.6094","4.4280","460.32M","2.33%"
"Dec 05, 2021","5.0461","6.0764","6.1245","4.7321","638.19M","-16.96%"
