"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","101.704","112.895","115.990","98.289","609.32M","-9.85%"
"Apr 03, 2022","112.812","132.400","141.046","108.168","1.02B","-14.78%"
"Mar 27, 2022","132.376","101.804","143.488","98.850","1.23B","30.03%"
"Mar 20, 2022","101.804","92.396","104.885","86.834","551.34M","10.14%"
"Mar 13, 2022","92.435","81.412","94.538","77.774","2.00B","13.55%"
"Mar 06, 2022","81.402","89.633","89.894","80.054","2.15B","-9.17%"
"Feb 27, 2022","89.623","90.130","106.335","84.190","774.22M","-0.56%"
"Feb 20, 2022","90.130","91.264","95.988","75.693","39.03M","-1.24%"
"Feb 13, 2022","91.264","95.970","105.606","88.760","20.78M","-4.83%"
"Feb 06, 2022","95.891","113.912","121.836","93.254","27.11M","-15.82%"
"Jan 30, 2022","113.912","96.029","118.520","89.264","39.90M","18.43%"
"Jan 23, 2022","96.186","94.679","104.673","80.919","44.55M","1.61%"
"Jan 16, 2022","94.665","147.660","151.918","88.480","26.04M","-35.90%"
"Jan 09, 2022","147.677","142.033","157.712","130.147","18.80M","3.97%"
"Jan 02, 2022","142.033","179.083","179.496","133.283","19.56M","-20.68%"
"Dec 26, 2021","179.068","193.019","204.712","167.773","16.31M","-7.28%"
"Dec 19, 2021","193.127","182.822","197.422","168.500","18.27M","5.61%"
"Dec 12, 2021","182.861","172.204","189.008","148.384","27.30M","6.48%"
"Dec 05, 2021","171.728","201.093","204.309","161.587","26.06M","-14.60%"
"Nov 28, 2021","201.088","192.976","243.069","175.186","28.23M","4.16%"
"Nov 21, 2021","193.061","217.824","235.389","183.084","24.92M","-11.37%"
"Nov 14, 2021","217.833","241.659","246.211","187.176","27.18M","-9.87%"
"Nov 07, 2021","241.684","258.480","258.581","217.998","24.78M","-6.50%"
"Oct 31, 2021","258.477","195.806","259.861","185.688","33.01M","32.00%"
"Oct 24, 2021","195.813","197.765","218.939","178.226","36.74M","-0.99%"
"Oct 17, 2021","197.776","157.416","214.972","153.148","47.80M","25.65%"
"Oct 10, 2021","157.403","156.778","165.347","137.730","34.11M","0.41%"
"Oct 03, 2021","156.755","169.074","177.359","150.266","38.67M","-7.29%"
"Sep 26, 2021","169.080","136.075","174.889","124.982","46.03M","24.24%"
"Sep 19, 2021","136.086","169.289","170.852","116.135","74.99M","-19.67%"
"Sep 12, 2021","169.399","152.549","174.974","134.717","63.04M","-5.02%"
"Sep 05, 2021","178.350","139.090","215.511","130.000","-","28.23%"
"Aug 29, 2021","139.090","96.720","150.670","90.623","-","43.81%"
"Aug 22, 2021","96.720","73.907","97.710","66.350","-","30.87%"
"Aug 15, 2021","73.907","44.043","100.000","43.462","-","67.81%"
"Aug 08, 2021","44.043","39.426","44.821","36.304","-","11.71%"
"Aug 01, 2021","39.426","36.709","40.405","32.200","-","7.40%"
"Jul 25, 2021","36.709","27.868","36.796","26.595","-","27.82%"
"Jul 18, 2021","28.720","26.715","29.400","22.230","-","7.51%"
"Jul 11, 2021","26.715","31.730","32.600","26.035","-","-15.81%"
"Jul 04, 2021","31.730","35.055","37.904","31.100","-","-8.82%"
"Jun 27, 2021","34.801","29.554","36.115","29.428","-","17.75%"
"Jun 20, 2021","29.554","35.283","35.799","20.472","-","-16.24%"
"Jun 13, 2021","35.283","36.402","41.339","35.097","-","-3.07%"
"Jun 06, 2021","36.402","39.559","43.910","33.824","-","-7.98%"
"May 30, 2021","39.559","26.900","42.252","25.825","-","47.06%"
"May 23, 2021","26.900","23.700","36.311","19.800","-","-36.83%"
"Apr 25, 2021","42.586","40.849","48.360","40.000","-","4.25%"
"Apr 18, 2021","40.849","25.096","42.060","22.698","-","62.77%"
"Apr 11, 2021","25.096","26.790","31.000","24.962","-","-6.32%"
"Apr 04, 2021","26.790","22.466","29.000","21.913","-","19.25%"
"Mar 28, 2021","22.466","16.506","24.400","16.347","-","36.10%"
"Mar 21, 2021","16.506","14.270","16.540","12.422","-","15.67%"
"Mar 14, 2021","14.270","15.370","15.370","13.300","-","-7.16%"
"Mar 07, 2021","15.370","12.924","16.454","12.717","-","18.92%"
"Feb 28, 2021","12.924","13.215","15.378","11.572","-","-2.20%"
"Feb 21, 2021","13.215","10.005","20.000","9.780","-","32.08%"
"Feb 14, 2021","10.005","8.669","11.499","7.634","-","15.41%"
"Feb 07, 2021","8.669","6.120","10.100","5.817","-","41.66%"
"Jan 31, 2021","6.120","4.232","7.077","4.128","-","44.61%"
"Jan 24, 2021","4.232","3.501","4.271","3.473","-","20.87%"
"Jan 17, 2021","3.501","3.449","4.111","2.661","-","1.53%"
"Jan 10, 2021","3.449","3.000","3.831","2.616","-","14.95%"
"Jan 03, 2021","3.000","1.796","3.889","1.796","-","67.00%"
"Dec 27, 2020","1.796","1.326","1.986","1.286","-","35.52%"
"Dec 20, 2020","1.326","1.667","1.681","1.139","-","-20.48%"
"Dec 13, 2020","1.667","1.499","1.791","1.468","-","11.18%"
"Dec 06, 2020","1.499","1.974","1.977","1.450","-","-24.03%"
"Nov 29, 2020","1.974","1.888","2.210","1.847","-","4.53%"
"Nov 22, 2020","1.888","2.393","2.482","1.747","-","-21.09%"
"Nov 15, 2020","2.393","1.928","2.495","1.928","-","24.11%"
"Nov 08, 2020","1.928","2.505","2.510","1.551","-","-23.03%"
"Nov 01, 2020","2.505","1.545","2.505","1.298","-","62.11%"
"Oct 25, 2020","1.545","1.914","1.914","1.353","-","-19.27%"
"Oct 18, 2020","1.914","2.196","2.246","1.863","-","-12.84%"
"Oct 11, 2020","2.196","2.405","2.679","2.130","-","-8.70%"
"Oct 04, 2020","2.405","2.554","2.667","2.036","-","-5.81%"
"Sep 27, 2020","2.554","3.129","3.172","2.464","-","-18.39%"
"Sep 20, 2020","3.129","3.017","3.237","2.490","-","3.72%"
"Sep 13, 2020","3.017","3.336","3.442","2.449","-","-9.58%"
"Sep 06, 2020","3.336","2.538","3.843","2.333","-","31.46%"
"Aug 30, 2020","2.538","3.979","4.934","2.408","-","-36.22%"
"Aug 23, 2020","3.979","3.060","4.234","3.059","-","30.02%"
"Aug 16, 2020","3.060","3.179","3.585","2.717","-","-3.74%"
"Aug 09, 2020","3.179","2.500","4.120","2.310","-","27.15%"
"Aug 02, 2020","2.500","1.617","2.601","1.436","-","54.62%"
"Jul 26, 2020","1.617","1.274","2.067","1.249","-","26.88%"
