"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2022","1.0003","1.0003","1.0008","1.0000","901.46M","0.00%"
"Apr 03, 2022","1.0003","1.0003","1.0006","0.9998","1.05B","0.00%"
"Mar 27, 2022","1.0003","1.0005","1.0006","0.9997","1.49B","-0.02%"
"Mar 20, 2022","1.0004","1.0004","1.0006","1.0000","1.16B","0.01%"
"Mar 13, 2022","1.0004","1.0001","1.0009","1.0000","1.01B","0.02%"
"Mar 06, 2022","1.0002","1.0003","1.0011","1.0001","1.18B","-0.01%"
"Feb 27, 2022","1.0003","1.0007","1.0011","1.0000","1.26B","-0.04%"
"Feb 20, 2022","1.0007","1.0005","1.0030","1.0005","1.44B","0.02%"
"Feb 13, 2022","1.0005","1.0006","1.0010","1.0003","814.26M","-0.01%"
"Feb 06, 2022","1.0006","1.0007","1.0011","1.0005","903.27M","-0.01%"
"Jan 30, 2022","1.0007","1.0003","1.0009","1.0003","756.36M","0.03%"
"Jan 23, 2022","1.0004","1.0004","1.0011","1.0002","1.26B","0.00%"
"Jan 16, 2022","1.0004","1.0003","1.0009","1.0000","1.13B","0.01%"
"Jan 09, 2022","1.0003","1.0001","1.0006","0.9999","987.43M","0.02%"
"Jan 02, 2022","1.0001","1.0002","1.0003","0.9997","1.06B","-0.01%"
"Dec 26, 2021","1.0002","1.0006","1.0007","0.9996","1.37B","-0.04%"
"Dec 19, 2021","1.0006","1.0005","1.0013","1.0001","1.09B","0.01%"
"Dec 12, 2021","1.0005","1.0008","1.0016","1.0001","1.38B","-0.02%"
"Dec 05, 2021","1.0007","1.0012","1.0017","1.0003","1.59B","-0.05%"
"Nov 28, 2021","1.0012","1.0009","1.0021","1.0002","1.61B","0.03%"
"Nov 21, 2021","1.0009","1.0008","1.0014","0.9998","1.49B","0.00%"
"Nov 14, 2021","1.0008","1.0001","1.0013","0.9997","1.93B","0.07%"
"Nov 07, 2021","1.0001","1.0007","1.0011","0.9992","2.01B","-0.07%"
"Oct 31, 2021","1.0007","1.0004","1.0011","1.0000","1.40B","0.03%"
"Oct 24, 2021","1.0004","1.0000","1.0009","0.9996","1.68B","0.04%"
"Oct 17, 2021","1.0000","1.0000","1.0006","0.9994","1.83B","0.00%"
"Oct 10, 2021","1.0000","1.0003","1.0005","0.9996","1.21B","-0.03%"
"Oct 03, 2021","1.0003","1.0004","1.0006","1.0000","1.19B","-0.01%"
"Sep 26, 2021","1.0004","1.0013","1.0024","0.9998","1.15B","-0.09%"
"Sep 19, 2021","1.0013","1.0002","1.0018","0.9999","1.62B","0.10%"
"Sep 12, 2021","1.0002","1.0003","1.0007","1.0000","1.15B","0.00%"
"Sep 05, 2021","1.0003","1.0003","1.0011","1.0000","1.79B","-0.01%"
"Aug 29, 2021","1.0003","1.0006","1.0009","1.0001","1.29B","-0.03%"
"Aug 22, 2021","1.0006","1.0006","1.0008","0.9999","1.42B","0.00%"
